Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
1242;BKR-828 VF;Ignition OFF;Jun 24 2025 04:33 PM;;X5V8+J3G, Av. José Carlos Mariátegui, Ate 15479, Peru;0;N/A;;-12.0055670000;-76.8341550000
1241;BKR-828 VF;AutoSnapshot;Jun 24 2025 04:33 PM;;X5V8+J3G, Av. José Carlos Mariátegui, Ate 15479, Peru;0;N/A;;-12.0055674700;-76.8341555500
1240;BKR-828 VF;AutoSnapshot;Jun 24 2025 04:32 PM;;X5V8+J3G, Av. José Carlos Mariátegui, Ate 15479, Peru;0;N/A;;-12.0055688200;-76.8341607700
1239;BKR-828 VF;Ignition ON;Jun 24 2025 04:32 PM;;X5V8+J3G, Av. José Carlos Mariátegui, Ate 15479, Peru;0;N/A;;-12.0055680000;-76.8341600000
1238;BKR-828 VF;Ignition OFF;Jun 24 2025 12:45 PM;;X5V8+XC7, Jose Carlos Mariategui, Cercado de Lima 15479, Peru;0;N/A;;-12.0055900000;-76.8341050000
1237;BKR-828 VF;AutoSnapshot;Jun 24 2025 12:45 PM;;X5V8+XC7, Jose Carlos Mariategui, Cercado de Lima 15479, Peru;0;N/A;;-12.0055904800;-76.8341057300
1236;BKR-828 VF;Idle - Stop;Jun 24 2025 12:44 PM;;X5V8+XC7, Jose Carlos Mariategui, Cercado de Lima 15479, Peru;1;N/A;;-12.0056102200;-76.8340774000
1235;BKR-828 VF;Idle - Stop;Jun 24 2025 12:44 PM;;X5V8+HHF, Ate 15479, Peru;0;N/A;;-12.0058347200;-76.8339627800
1234;BKR-828 VF;Ignition ON;Jun 24 2025 12:41 PM;;X5V8+HHF, Ate 15479, Peru;0;N/A;;-12.0059960000;-76.8338650000
1233;BKR-828 VF;AutoSnapshot;Jun 24 2025 12:41 PM;;X5V8+HHF, Ate 15479, Peru;1;N/A;;-12.0059784700;-76.8338790700
1232;BKR-828 VF;Ignition OFF;Jun 24 2025 12:35 PM;;X5V8+HHF, Ate 15479, Peru;0;N/A;;-12.0059980000;-76.8338860000
1231;BKR-828 VF;Travel Stop;Jun 24 2025 12:35 PM;;X5V8+HHF, Ate 15479, Peru;0;N/A;;-12.0059980000;-76.8338860000
1230;BKR-828 VF;AutoSnapshot;Jun 24 2025 12:35 PM;;X5V8+HHF, Ate 15479, Peru;0;N/A;;-12.0059985800;-76.8338862300
1229;BKR-828 VF;Idle - Stop;Jun 24 2025 12:34 PM;;X5V8+HHF, Ate 15479, Peru;0;N/A;;-12.0060361300;-76.8339015800
1228;BKR-828 VF;Drive;Jun 24 2025 12:32 PM;;X5V8+5QC, Ate 15479, Peru;0;N/A;;-12.0066027800;-76.8325691300
1227;BKR-828 VF;Drive;Jun 24 2025 12:30 PM;;X5W9+F5W, Lima 15479, Peru;17;N/A;;-12.0036772700;-76.8318946300
1226;BKR-828 VF;AutoSnapshot;Jun 24 2025 12:29 PM;;X5X8+FVX, Ate 15476, Peru;22;N/A;;-12.0010772200;-76.8331265500
1225;BKR-828 VF;Drive;Jun 24 2025 12:28 PM;;Entrada Huaycán - Cáceres, Ate 15476, Peru;35;N/A;;-11.9973815800;-76.8356289800
1224;BKR-828 VF;Drive;Jun 24 2025 12:26 PM;;Ctra. Central 3011, Ate 15476, Peru;49;N/A;;-12.0034971500;-76.8429324500
1223;BKR-828 VF;Drive;Jun 24 2025 12:24 PM;;Gloria Grande, Ate 15476, Peru;0;N/A;;-12.0069537300;-76.8530553200
1222;BKR-828 VF;Drive;Jun 24 2025 12:22 PM;;X4RQ+G34, Ctra. Central, Ate 15487, Peru;0;N/A;;-12.0087876000;-76.8626331700
1221;BKR-828 VF;Travel Start;Jun 24 2025 12:20 PM;;X4RQ+RP6, Ctra. Central, Ate 15476, Peru;12;N/A;;-12.0080164000;-76.8605934000
