Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
7093;1AR3;Parked;Sep 05 2025 12:03 PM;;;0;N/A;;-12.1504320000;-77.0053200000
7092;1AR3;Parked;Sep 05 2025 12:02 PM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7091;1AR3;Parked;Sep 05 2025 12:02 PM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7090;1AR3;Parked;Sep 05 2025 12:01 PM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7089;1AR3;Parked;Sep 05 2025 12:01 PM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7088;1AR3;Parked;Sep 05 2025 12:00 PM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7087;1AR3;Parked;Sep 05 2025 12:00 PM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7086;1AR3;Parked;Sep 05 2025 11:59 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7085;1AR3;Parked;Sep 05 2025 11:59 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7084;1AR3;Parked;Sep 05 2025 11:58 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7083;1AR3;Parked;Sep 05 2025 11:58 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7082;1AR3;Parked;Sep 05 2025 11:57 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7081;1AR3;Parked;Sep 05 2025 11:57 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7080;1AR3;Parked;Sep 05 2025 11:56 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7079;1AR3;Parked;Sep 05 2025 11:56 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7078;1AR3;Parked;Sep 05 2025 11:55 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7077;1AR3;Parked;Sep 05 2025 11:55 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7076;1AR3;Parked;Sep 05 2025 11:54 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7075;1AR3;Parked;Sep 05 2025 11:54 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7074;1AR3;Parked;Sep 05 2025 11:53 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7073;1AR3;Parked;Sep 05 2025 11:53 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7072;1AR3;Parked;Sep 05 2025 11:52 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7071;1AR3;Parked;Sep 05 2025 11:52 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
7070;1AR3;Parked;Sep 05 2025 11:51 AM;;Av Jorge Chavez, Surco, Lima, Lima [Province];0;N/A;;-12.1504320000;-77.0053200000
