Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
8286;BUW-137;Parked;Oct 23 2025 01:55 PM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499396000;-77.1394551000
8285;BUW-137;Parked;Oct 23 2025 09:55 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499561000;-77.1394536000
8284;BUW-137;Parked;Oct 23 2025 05:55 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499865000;-77.1395481000
8283;BUW-137;iButton OUT;Oct 23 2025 05:46 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499285000;-77.1394803000
8282;BUW-137;Ignition OFF;Oct 23 2025 05:45 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499285000;-77.1394803000
8281;BUW-137;Idle Alert;Oct 23 2025 05:30 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499421000;-77.1394960000
8280;BUW-137;Idle - Stop;Oct 23 2025 05:28 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499435000;-77.1394980000
8279;BUW-137;Ignition ON;Oct 23 2025 05:25 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499155000;-77.1395096000
8278;BUW-137;Parked;Oct 23 2025 02:01 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499246000;-77.1394806000
8277;BUW-137;Parked;Oct 22 2025 10:01 PM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499415000;-77.1395066000
8276;BUW-137;Parked;Oct 22 2025 06:01 PM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499416000;-77.1394810000
8275;BUW-137;Parked;Oct 22 2025 02:01 PM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499196000;-77.1394608000
8274;BUW-137;Parked;Oct 22 2025 10:01 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499441000;-77.1394651000
8273;BUW-137;Parked;Oct 22 2025 06:01 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499805000;-77.1395615000
8272;BUW-137;iButton OUT;Oct 22 2025 05:51 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499273000;-77.1394941000
8271;BUW-137;Ignition OFF;Oct 22 2025 05:51 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499273000;-77.1394941000
8270;BUW-137;Ignition ON;Oct 22 2025 05:51 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499285000;-77.1394895000
8269;BUW-137;iButton OUT;Oct 22 2025 05:51 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499283000;-77.1394911000
8268;BUW-137;Ignition OFF;Oct 22 2025 05:51 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499283000;-77.1394911000
8267;BUW-137;Idle Alert;Oct 22 2025 05:38 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499561000;-77.1395051000
8266;BUW-137;Idle - Stop;Oct 22 2025 05:36 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499581000;-77.1395193000
8265;BUW-137;Ignition ON;Oct 22 2025 05:33 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499220000;-77.1395523000
8264;BUW-137;Parked;Oct 22 2025 01:41 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0498905000;-77.1394518000
8263;BUW-137;Parked;Oct 21 2025 09:41 PM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0498750000;-77.1395270000
8262;BUW-137;Parked;Oct 21 2025 05:41 PM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499501000;-77.1394920000
8261;BUW-137;Parked;Oct 21 2025 01:41 PM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499428000;-77.1394825000
8260;BUW-137;Parked;Oct 21 2025 09:41 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499590000;-77.1395456000
8259;BUW-137;Parked;Oct 21 2025 05:41 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499366000;-77.1395051000
8258;BUW-137;iButton OUT;Oct 21 2025 05:31 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0498850000;-77.1394920000
8257;BUW-137;Ignition OFF;Oct 21 2025 05:31 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0498850000;-77.1394920000
8256;BUW-137;Idle Alert;Oct 21 2025 05:12 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0498696000;-77.1395080000
8255;BUW-137;Idle - Stop;Oct 21 2025 05:10 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0498850000;-77.1395131000
8254;BUW-137;Ignition ON;Oct 21 2025 05:07 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499003000;-77.1394915000
8253;BUW-137;Parked;Oct 21 2025 01:36 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499123000;-77.1394366000
8252;BUW-137;Parked;Oct 20 2025 09:36 PM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499596000;-77.1395388000
8251;BUW-137;Parked;Oct 20 2025 05:36 PM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499335000;-77.1395623000
8250;BUW-137;Parked;Oct 20 2025 01:36 PM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0498991000;-77.1394788000
8249;BUW-137;Parked;Oct 20 2025 09:36 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499793000;-77.1395086000
8248;BUW-137;Parked;Oct 20 2025 05:36 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0498825000;-77.1394741000
8247;BUW-137;iButton OUT;Oct 20 2025 05:26 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499113000;-77.1395040000
8246;BUW-137;Ignition OFF;Oct 20 2025 05:26 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499113000;-77.1395040000
8245;BUW-137;Idle - Stop;Oct 20 2025 05:24 AM;;Av Atalaya, Callao, Callao, Callao;0;N/A;;-12.0499555000;-77.1395436000
8244;BUW-137;Ignition ON;Oct 20 2025 05:21 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499588000;-77.1392343000
8243;BUW-137;Parked;Oct 20 2025 04:34 AM;;Guadalupe, Callao 07021, Peru;0;N/A;;-12.0500256000;-77.1393821000
8242;BUW-137;Parked;Oct 20 2025 12:34 AM;;Av Atalaya, Callao, Callao, Callao, Perú;0;N/A;;-12.0499631000;-77.1392490000
