Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
28511;REEFER V1;Idle Alert;Oct 30 2025 10:56 AM;;;0;19.00°C;;-11.5617060000;-77.2666770000
28510;REEFER V1;Idle Alert;Oct 30 2025 10:51 AM;;;0;18.94°C;;-11.5617020000;-77.2667295000
28509;REEFER V1;Idle Alert;Oct 30 2025 10:46 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.94°C;;-11.5617153000;-77.2667121000
28508;REEFER V1;Idle Alert;Oct 30 2025 10:41 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.94°C;;-11.5616973000;-77.2667336000
28507;REEFER V1;Idle Alert;Oct 30 2025 10:36 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.94°C;;-11.5617101000;-77.2667280000
28506;REEFER V1;Idle Alert;Oct 30 2025 10:31 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.88°C;;-11.5617080000;-77.2667581000
28505;REEFER V1;Idle Alert;Oct 30 2025 10:26 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.88°C;;-11.5616840000;-77.2667386000
28504;REEFER V1;Idle Alert;Oct 30 2025 10:21 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.81°C;;-11.5616886000;-77.2667148000
28503;REEFER V1;Idle Alert;Oct 30 2025 10:16 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.81°C;;-11.5616683000;-77.2667051000
28502;REEFER V1;Idle Alert;Oct 30 2025 10:11 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.81°C;;-11.5617361000;-77.2666943000
28501;REEFER V1;Idle Alert;Oct 30 2025 10:06 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.75°C;;-11.5616965000;-77.2667136000
28500;REEFER V1;Idle Alert;Oct 30 2025 10:01 AM;;Av Pe-1n Km 82, Aucallama, Huaral, Lima [Province], Perú;0;18.75°C;;-11.5616951000;-77.2667105000
