Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
14297;AFK-949;Parked;Sep 30 2025 06:35 PM;;Primavera, Lima 15058, Peru;0;N/A;;-12.1781300000;-76.9787240000
14296;AFK-949;Parked;Sep 30 2025 05:34 PM;;Primavera, Lima 15058, Peru;0;N/A;;-12.1781300000;-76.9787240000
14295;AFK-949;Ignition OFF;Sep 30 2025 05:34 PM;;Primavera, Lima 15058, Peru;0;N/A;;-12.1781300000;-76.9787240000
14294;AFK-949;Idle - Stop;Sep 30 2025 05:34 PM;;Primavera, Lima 15058, Peru;0;N/A;;-12.1781300000;-76.9787240000
14293;AFK-949;Idle - Stop;Sep 30 2025 05:33 PM;;Primavera, Lima 15058, Peru;0;N/A;;-12.1781300000;-76.9787240000
14292;AFK-949;Ignition ON;Sep 30 2025 05:33 PM;;Primavera, Lima 15058, Peru;0;N/A;;-12.1781400000;-76.9787560000
14291;AFK-949;Parked;Sep 30 2025 05:28 PM;;Primavera, Lima 15058, Peru;0;N/A;;-12.1781400000;-76.9787560000
14290;AFK-949;Ignition OFF;Sep 30 2025 05:28 PM;;Primavera, Lima 15058, Peru;0;N/A;;-12.1781400000;-76.9787560000
14289;AFK-949;Idle - Stop;Sep 30 2025 05:28 PM;;Abancay-31, San Juan De Miraflores, Lima, Lima [Province];0;N/A;;-12.1781440000;-76.9788040000
14288;AFK-949;Drive;Sep 30 2025 05:27 PM;;Abancay-68, San Juan De Miraflores, Lima, Lima [Province], Perú;9;N/A;;-12.1778190000;-76.9788690000
14287;AFK-949;Drive;Sep 30 2025 05:27 PM;;Primavera, Santiago de Surco 15058, Peru;14;N/A;;-12.1776940000;-76.9788190000
14286;AFK-949;Idle - Stop;Sep 30 2025 05:27 PM;;Cotabambas-6, San Juan De Miraflores, Lima, Lima [Province], Perú;0;N/A;;-12.1775490000;-76.9782190000
14285;AFK-949;Drive;Sep 30 2025 05:26 PM;;Andahuaylas, Lima 15058, Peru;16;N/A;;-12.1785810000;-76.9778410000
14284;AFK-949;Drive;Sep 30 2025 05:26 PM;;Andahuaylas-13, San Juan De Miraflores, Lima, Lima [Province];9;N/A;;-12.1788170000;-76.9777750000
14283;AFK-949;Drive;Sep 30 2025 05:26 PM;;Andahuaylas-73, San Juan De Miraflores, Lima, Lima [Province];14;N/A;;-12.1787890000;-76.9774700000
14282;AFK-949;Ignition ON;Sep 30 2025 05:25 PM;;Av Triunfo-52, San Juan De Miraflores, Lima, Lima [Province];0;N/A;;-12.1781130000;-76.9775140000
14281;AFK-949;Parked;Sep 30 2025 05:14 PM;;Av Triunfo-52, San Juan De Miraflores, Lima, Lima [Province];0;N/A;;-12.1781130000;-76.9775140000
14280;AFK-949;Towing/Drifting?;Sep 30 2025 05:14 PM;;Av Triunfo-52, San Juan De Miraflores, Lima, Lima [Province];0;N/A;;-12.1781130000;-76.9775140000
14279;AFK-949;Ignition OFF;Sep 30 2025 05:14 PM;;Av Triunfo-52, San Juan De Miraflores, Lima, Lima [Province];0;N/A;;-12.1781130000;-76.9775140000
14278;AFK-949;Drive;Sep 30 2025 05:14 PM;;Av Triunfo-17, San Juan De Miraflores, Lima, Lima [Province], Perú;14;N/A;;-12.1776340000;-76.9776510000
14277;AFK-949;Drive;Sep 30 2025 05:13 PM;;Av Triunfo-22, San Juan De Miraflores, Lima, Lima [Province];25;N/A;;-12.1748710000;-76.9784920000
