Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
11280;AMX-932;Idle - Stop;Oct 08 2025 11:52 AM;;Juan Xxiii-61, San Martin De Porres, Lima, Lima [Province], Perú;0;N/A;;-12.0338290000;-77.0464880000
11279;AMX-932;Drive;Oct 08 2025 11:51 AM;;Virrey Abascal-5, San Martin De Porres, Lima, Lima [Province], Perú;9;N/A;;-12.0337180000;-77.0472150000
11278;AMX-932;Drive;Oct 08 2025 11:51 AM;;Martir Olaya-34, San Martin De Porres, Lima, Lima [Province];9;N/A;;-12.0344010000;-77.0475220000
11277;AMX-932;Drive;Oct 08 2025 11:50 AM;;Martir Olaya-54, San Martin De Porres, Lima, Lima [Province];24;N/A;;-12.0343020000;-77.0481580000
11276;AMX-932;Idle - Stop;Oct 08 2025 11:50 AM;;10 De Junio-55, San Martin De Porres, Lima, Lima [Province], Perú;0;N/A;;-12.0330720000;-77.0495030000
11275;AMX-932;Drive;Oct 08 2025 11:49 AM;;Av 10 De Junio-78, San Martin De Porres, Lima, Lima [Province];9;N/A;;-12.0300380000;-77.0500260000
11274;AMX-932;Drive;Oct 08 2025 11:48 AM;;Av 10 De Junio 387, Lima 15102, Peru;12;N/A;;-12.0274960000;-77.0489630000
11273;AMX-932;Drive;Oct 08 2025 11:47 AM;;Av 10 De Junio-21, San Martin De Porres, Lima, Lima [Province];17;N/A;;-12.0265330000;-77.0478300000
11272;AMX-932;Drive;Oct 08 2025 11:47 AM;;Av Tupac Amaru, San Martin De Porres, Lima, Lima [Province], Perú;27;N/A;;-12.0256800000;-77.0474960000
11271;AMX-932;Drive;Oct 08 2025 11:46 AM;;Av Auxiliar Tupac Amaru-16, San Martin De Porres, Lima, Lima [Province];9;N/A;;-12.0229830000;-77.0504260000
11270;AMX-932;Idle - Stop;Oct 08 2025 11:46 AM;;Av Auxiliar Tupac Amaru-16, San Martin De Porres, Lima, Lima [Province];0;N/A;;-12.0229710000;-77.0504340000
11269;AMX-932;Idle - Stop;Oct 08 2025 11:45 AM;;Av Auxiliar Tupac Amaru-16, San Martin De Porres, Lima, Lima [Province];0;N/A;;-12.0229710000;-77.0504340000
