Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
23652;BKD-913;Drive;Sep 30 2025 11:59 PM;;Entrada-82, Miraflores., Lima, Lima [Province];30;N/A;;-12.1197270000;-77.0256980000
23651;BKD-913;Drive;Sep 30 2025 11:58 PM;;Av Paseo De La Republica-23, Miraflores., Lima, Lima [Province];25;N/A;;-12.1189000000;-77.0259510000
23650;BKD-913;Drive;Sep 30 2025 11:57 PM;;Av Paseo De La Republica-46, San Isidro, Lima, Lima [Province];9;N/A;;-12.1137730000;-77.0259870000
23649;BKD-913;Idle - Stop;Sep 30 2025 11:57 PM;;Av Paseo De La Republica-46, San Isidro, Lima, Lima [Province];0;N/A;;-12.1137560000;-77.0259830000
23648;BKD-913;Drive;Sep 30 2025 11:56 PM;;Av Paseo De La Republica-45, San Isidro, Lima, Lima [Province];9;N/A;;-12.1138960000;-77.0260020000
23647;BKD-913;Idle - Stop;Sep 30 2025 11:56 PM;;Av Paseo De La Republica-43, San Isidro, Lima, Lima [Province];0;N/A;;-12.1139720000;-77.0260070000
23646;BKD-913;Drive;Sep 30 2025 11:56 PM;;Av Paseo De La Republica-49, San Isidro, Lima, Lima [Province];12;N/A;;-12.1134940000;-77.0259630000
23645;BKD-913;Drive;Sep 30 2025 11:55 PM;;Av Paseo De La Republica-29, San Isidro, Lima, Lima [Province], Perú;33;N/A;;-12.1090190000;-77.0263200000
23644;BKD-913;Drive;Sep 30 2025 11:54 PM;;Entrada-68, Miraflores., Lima, Lima [Province];40;N/A;;-12.1047700000;-77.0274130000
23643;BKD-913;Drive;Sep 30 2025 11:53 PM;;Av Paseo De La Republica-15, Miraflores., Lima, Lima [Province];28;N/A;;-12.1030720000;-77.0274080000
23642;BKD-913;Drive;Sep 30 2025 11:53 PM;;Av Andres Aramburu-22, Surquillo, Lima, Lima [Province];14;N/A;;-12.1028170000;-77.0273850000
23641;BKD-913;Drive;Sep 30 2025 11:53 PM;;Vía Expresa Paseo de la República, Lima 15046, Peru;35;N/A;;-12.1026300000;-77.0273510000
23640;BKD-913;Drive;Sep 30 2025 11:52 PM;;Av Paseo De La Republica-54, San Isidro, Lima, Lima [Province];64;N/A;;-12.1019090000;-77.0272510000
23639;BKD-913;Drive;Sep 30 2025 11:52 PM;;Av Enrique Canaval Y Moreyra, San Isidro, Lima, Lima [Province];17;N/A;;-12.0966520000;-77.0252810000
