Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
7177;BKD-913;Parked;Oct 08 2025 11:34 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7176;BKD-913;Parked;Oct 08 2025 10:33 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7175;BKD-913;Parked;Oct 08 2025 09:33 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7174;BKD-913;Parked;Oct 08 2025 08:33 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7173;BKD-913;Parked;Oct 08 2025 07:33 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7172;BKD-913;Parked;Oct 08 2025 06:33 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7171;BKD-913;Parked;Oct 08 2025 05:33 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7170;BKD-913;Parked;Oct 08 2025 05:33 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7169;BKD-913;Ignition OFF;Oct 08 2025 05:33 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7168;BKD-913;Idle - Stop;Oct 08 2025 05:32 AM;;5W9J+X9H, Jr.San Carlos, Carabayllo 15122, Peru;0;N/A;;-11.8298310000;-77.0694140000
7167;BKD-913;Drive;Oct 08 2025 05:32 AM;;Via Principal, Puente Piedra, Lima, Lima [Province], Perú;14;N/A;;-11.8297290000;-77.0694370000
7166;BKD-913;Drive;Oct 08 2025 05:31 AM;;Via Principal, Puente Piedra, Lima, Lima [Province], Perú;14;N/A;;-11.8296270000;-77.0705330000
7165;BKD-913;Drive;Oct 08 2025 05:31 AM;;Carabayllo Mz S Lote 20, Carabayllo, Peru;11;N/A;;-11.8295890000;-77.0707320000
7164;BKD-913;Drive;Oct 08 2025 05:30 AM;;Via Principal, Puente Piedra, Lima, Lima [Province], Perú;14;N/A;;-11.8270950000;-77.0709020000
7163;BKD-913;Drive;Oct 08 2025 05:30 AM;;Via Principal, Puente Piedra, Lima, Lima [Province], Perú;14;N/A;;-11.8267170000;-77.0709260000
7162;BKD-913;Drive;Oct 08 2025 05:30 AM;;5WFH+8CW, C. 7, Carabayllo 15122, Peru;11;N/A;;-11.8265190000;-77.0708900000
7161;BKD-913;Drive;Oct 08 2025 05:30 AM;;Calle San Pedro, Carabayllo, Peru;28;N/A;;-11.8263580000;-77.0701660000
7160;BKD-913;Drive;Oct 08 2025 05:30 AM;;5WFJ+695, C. San Pedro, Carabayllo 15122, Peru;20;N/A;;-11.8268170000;-77.0693960000
7159;BKD-913;Drive;Oct 08 2025 05:29 AM;;Via Principal, Puente Piedra, Lima, Lima [Province], Perú;12;N/A;;-11.8270500000;-77.0692210000
7158;BKD-913;Idle - Stop;Oct 08 2025 05:29 AM;;5WFJ+695, C. San Pedro, Carabayllo 15122, Peru;0;N/A;;-11.8270040000;-77.0690660000
7157;BKD-913;Idle - Stop;Oct 08 2025 05:28 AM;;5WFJ+695, C. San Pedro, Carabayllo 15122, Peru;0;N/A;;-11.8267530000;-77.0690670000
7156;BKD-913;Ignition ON;Oct 08 2025 05:28 AM;;5WFJ+RGW, Carabayllo 15122, Peru;0;N/A;;-11.8256390000;-77.0684010000
7155;BKD-913;Parked;Oct 08 2025 05:11 AM;;5WFJ+RGW, Carabayllo 15122, Peru;0;N/A;;-11.8256390000;-77.0684010000
7154;BKD-913;Parked;Oct 08 2025 04:11 AM;;5WFJ+RGW, Carabayllo 15122, Peru;0;N/A;;-11.8256390000;-77.0684010000
7153;BKD-913;Towing/Drifting?;Oct 08 2025 04:11 AM;;5WFJ+RGW, Carabayllo 15122, Peru;0;N/A;;-11.8254190000;-77.0682880000
7152;BKD-913;Ignition OFF;Oct 08 2025 04:11 AM;;5WFJ+RGW, Carabayllo 15122, Peru;0;N/A;;-11.8254190000;-77.0682880000
7151;BKD-913;Idle - Stop;Oct 08 2025 04:11 AM;;5WFJ+RGW, Carabayllo 15122, Peru;0;N/A;;-11.8254190000;-77.0682880000
7150;BKD-913;Idle - Stop;Oct 08 2025 04:11 AM;;5WFJ+RGW, Carabayllo 15122, Peru;0;N/A;;-11.8254190000;-77.0682880000
7149;BKD-913;Idle - Stop;Oct 08 2025 04:10 AM;;5WFJ+M9, Carabayllo 15122, Peru;1;N/A;;-11.8260230000;-77.0684480000
7148;BKD-913;Ignition ON;Oct 08 2025 04:10 AM;;5WFJ+M9, Carabayllo 15122, Peru;0;N/A;;-11.8260230000;-77.0684480000
7147;BKD-913;Power Restored;Oct 08 2025 04:10 AM;;5WFJ+M9, Carabayllo 15122, Peru;1;N/A;;-11.8260230000;-77.0684480000
7146;BKD-913;Parked;Oct 08 2025 04:10 AM;;5WFJ+M9, Carabayllo 15122, Peru;0;N/A;;-11.8260230000;-77.0684480000
7145;BKD-913;Parked;Oct 08 2025 04:10 AM;;5WFJ+M9, Carabayllo 15122, Peru;0;N/A;;-11.8260230000;-77.0684480000
