Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
30552;BVS-828;Parked;Sep 30 2025 11:31 PM;;3V4M+M59, El Verso, La Florida 07046, Peru;0;N/A;;-11.9435590000;-77.1177450000
30551;BVS-828;Parked;Sep 30 2025 10:31 PM;;3V4M+M59, El Verso, La Florida 07046, Peru;0;N/A;;-11.9435590000;-77.1177450000
30550;BVS-828;Parked;Sep 30 2025 09:31 PM;;Av Chillon, San Martín de Porres 07046, Peru;0;N/A;;-11.9433790000;-77.1177710000
30549;BVS-828;Ignition OFF;Sep 30 2025 09:31 PM;;Av Chillon, San Martín de Porres 07046, Peru;0;N/A;;-11.9433790000;-77.1177710000
30548;BVS-828;Idle - Stop;Sep 30 2025 09:31 PM;;Av Chillon, San Martín de Porres 07046, Peru;0;N/A;;-11.9433790000;-77.1177710000
30547;BVS-828;Drive;Sep 30 2025 09:30 PM;;Via Principal-76, Ventanilla, Callao, Callao, Perú;22;N/A;;-11.9429520000;-77.1185610000
30546;BVS-828;Drive;Sep 30 2025 09:30 PM;;Victor Espinoza-48, Callao, Callao, Callao, Perú;16;N/A;;-11.9425740000;-77.1193080000
30545;BVS-828;Drive;Sep 30 2025 09:30 PM;;Via Principal-72, Ventanilla, Callao, Callao, Perú;14;N/A;;-11.9419910000;-77.1191660000
30544;BVS-828;Drive;Sep 30 2025 09:29 PM;;Via Principal-64, Ventanilla, Callao, Callao, Perú;9;N/A;;-11.9409040000;-77.1203400000
30543;BVS-828;Drive;Sep 30 2025 09:28 PM;;South America, Márquez, Lima;11;N/A;;-11.9398020000;-77.1218380000
30542;BVS-828;Drive;Sep 30 2025 09:28 PM;;Via Principal-52, Ventanilla, Callao, Callao;12;N/A;;-11.9396870000;-77.1219880000
30541;BVS-828;Idle - Stop;Sep 30 2025 09:27 PM;;Via Principal-46, Ventanilla, Callao, Callao, Perú;0;N/A;;-11.9391190000;-77.1229380000
30540;BVS-828;Drive;Sep 30 2025 09:26 PM;;Via Principal-36, Ventanilla, Callao, Callao;22;N/A;;-11.9384320000;-77.1246340000
30539;BVS-828;Drive;Sep 30 2025 09:25 PM;;Via Principal-26, Ventanilla, Callao, Callao;19;N/A;;-11.9383890000;-77.1265630000
30538;BVS-828;Drive;Sep 30 2025 09:25 PM;;Via Principal-21, Ventanilla, Callao, Callao;20;N/A;;-11.9378390000;-77.1274700000
30537;BVS-828;Drive;Sep 30 2025 09:25 PM;;Via Principal-19, Ventanilla, Callao, Callao;20;N/A;;-11.9375380000;-77.1276230000
30536;BVS-828;Drive;Sep 30 2025 09:25 PM;;Av Nestor Gambetta-51, Callao, Callao, Callao;20;N/A;;-11.9372110000;-77.1283310000
30535;BVS-828;Drive;Sep 30 2025 09:24 PM;;Av Nestor Gambetta-45, Callao, Callao, Callao;20;N/A;;-11.9364830000;-77.1294700000
30534;BVS-828;Drive;Sep 30 2025 09:24 PM;;Av Nestor Gambetta-36, Callao, Callao, Callao;16;N/A;;-11.9362090000;-77.1300070000
30533;BVS-828;Drive;Sep 30 2025 09:24 PM;;Av Nestor Gambetta-23, Callao, Callao, Callao;9;N/A;;-11.9361680000;-77.1304480000
30532;BVS-828;Idle - Stop;Sep 30 2025 09:23 PM;;Av Nestor Gambetta-57, Callao, Callao, Callao;0;N/A;;-11.9368310000;-77.1306590000
30531;BVS-828;Idle - Stop;Sep 30 2025 09:23 PM;;Av Nestor Gambetta-57, Callao, Callao, Callao;0;N/A;;-11.9368310000;-77.1306590000
30530;BVS-828;Drive;Sep 30 2025 09:22 PM;;Av Nestor Gambetta, Callao, Callao, Callao;17;N/A;;-11.9381530000;-77.1307860000
30529;BVS-828;Ignition ON;Sep 30 2025 09:21 PM;;Av Nestor Gambetta, Callao, Callao, Callao, Perú;0;N/A;;-11.9394320000;-77.1309950000
30528;BVS-828;Parked;Sep 30 2025 08:39 PM;;Av Nestor Gambetta, Callao, Callao, Callao, Perú;0;N/A;;-11.9394320000;-77.1309950000
30527;BVS-828;Ignition OFF;Sep 30 2025 08:39 PM;;Av Nestor Gambetta, Callao, Callao, Callao, Perú;0;N/A;;-11.9395530000;-77.1310090000
30526;BVS-828;Idle - Stop;Sep 30 2025 08:38 PM;;Av Nestor Gambetta, Callao, Callao, Callao;0;N/A;;-11.9403930000;-77.1311310000
30525;BVS-828;Drive;Sep 30 2025 08:37 PM;;Av Nestor Gambetta, Callao, Callao, Callao;12;N/A;;-11.9407180000;-77.1311730000
30524;BVS-828;Drive;Sep 30 2025 08:36 PM;;Av Nestor Gambetta-15, Callao, Callao, Callao;22;N/A;;-11.9447950000;-77.1314580000
30523;BVS-828;Drive;Sep 30 2025 08:35 PM;;Av Nestor Gambetta-8, Callao, Callao, Callao;54;N/A;;-11.9516220000;-77.1308000000
30522;BVS-828;Drive;Sep 30 2025 08:34 PM;;Av Nestor Gambetta-76, Callao, Callao, Callao;35;N/A;;-11.9592360000;-77.1283190000
30521;BVS-828;Drive;Sep 30 2025 08:33 PM;;Av Nestor Gambetta-35, Callao, Callao, Callao;54;N/A;;-11.9630760000;-77.1270740000
30520;BVS-828;Drive;Sep 30 2025 08:32 PM;;Av Nestor Gambetta-33, Callao, Callao, Callao;43;N/A;;-11.9705330000;-77.1252370000
30519;BVS-828;Drive;Sep 30 2025 08:31 PM;;Av Nestor Gambetta-94, Callao, Callao, Callao;41;N/A;;-11.9778950000;-77.1249960000
30518;BVS-828;Idle - Stop;Sep 30 2025 08:30 PM;;Av Nestor Gambetta-32, Callao, Callao, Callao;0;N/A;;-11.9811080000;-77.1251300000
30517;BVS-828;Drive;Sep 30 2025 08:29 PM;;Av Nestor Gambetta-21, Callao, Callao, Callao;28;N/A;;-11.9861390000;-77.1253260000
30516;BVS-828;Idle - Stop;Sep 30 2025 08:28 PM;;Av Nestor Gambetta, Callao, Callao, Callao;0;N/A;;-11.9890890000;-77.1254190000
30515;BVS-828;Drive;Sep 30 2025 08:27 PM;;Av Nestor Gambetta, Callao, Callao, Callao;48;N/A;;-11.9951190000;-77.1258670000
30514;BVS-828;Drive;Sep 30 2025 08:27 PM;;Av Nestor Gambetta, Callao, Callao, Callao;43;N/A;;-11.9957060000;-77.1258960000
30513;BVS-828;Drive;Sep 30 2025 08:26 PM;;Av Grifo, Callao, Callao, Callao;40;N/A;;-11.9975640000;-77.1241660000
30512;BVS-828;Idle - Stop;Sep 30 2025 08:25 PM;;Av Elmer Faucett-65, Callao, Callao, Callao;0;N/A;;-11.9985890000;-77.1209690000
30511;BVS-828;Idle - Stop;Sep 30 2025 08:24 PM;;Av Elmer Faucett, Callao, Callao, Callao;0;N/A;;-11.9999730000;-77.1181480000
30510;BVS-828;Drive;Sep 30 2025 08:24 PM;;Av Elmer Faucett, Callao, Callao, Callao;28;N/A;;-12.0006680000;-77.1171160000
30509;BVS-828;Idle - Stop;Sep 30 2025 08:23 PM;;Av Elmer Faucett-71, Callao, Callao, Callao;0;N/A;;-12.0012290000;-77.1164450000
30508;BVS-828;Drive;Sep 30 2025 08:22 PM;;Av Elmer Faucett-49, Callao, Callao, Callao;12;N/A;;-12.0014750000;-77.1162240000
30507;BVS-828;Idle - Stop;Sep 30 2025 08:21 PM;;Av Elmer Faucett-18, Callao, Callao, Callao;0;N/A;;-12.0016970000;-77.1160630000
30506;BVS-828;Idle - Stop;Sep 30 2025 08:20 PM;;Av Elmer Faucett-31, Callao, Callao, Callao;0;N/A;;-12.0029390000;-77.1154910000
30505;BVS-828;Idle - Stop;Sep 30 2025 08:19 PM;;Av Elmer Faucett-72, Callao, Callao, Callao;0;N/A;;-12.0042810000;-77.1147110000
30504;BVS-828;Drive;Sep 30 2025 08:18 PM;;Av Elmer Faucett-12, Callao, Callao, Callao;9;N/A;;-12.0055820000;-77.1140750000
30503;BVS-828;Drive;Sep 30 2025 08:17 PM;;Av Elmer Faucett-4, Callao, Callao, Callao;45;N/A;;-12.0088840000;-77.1125150000
30502;BVS-828;Drive;Sep 30 2025 08:16 PM;;Av Elmer Faucett-12, Callao, Callao, Callao;28;N/A;;-12.0119250000;-77.1111810000
30501;BVS-828;Idle - Stop;Sep 30 2025 08:15 PM;;Av Elmer Faucett, Callao, Callao, Callao;0;N/A;;-12.0149170000;-77.1096580000
30500;BVS-828;Drive;Sep 30 2025 08:14 PM;;Av Elmer Faucett, Callao, Callao, Callao, Perú;14;N/A;;-12.0193770000;-77.1074550000
30499;BVS-828;Drive;Sep 30 2025 08:13 PM;;Av Elmer Faucett, Callao, Callao, Callao, Perú;11;N/A;;-12.0213690000;-77.1062050000
30498;BVS-828;Idle - Stop;Sep 30 2025 08:12 PM;;Av Elmer Faucett, Callao, Callao, Callao;0;N/A;;-12.0217830000;-77.1058470000
30497;BVS-828;Idle - Stop;Sep 30 2025 08:11 PM;;Av Elmer Faucett, Callao, Callao, Callao;0;N/A;;-12.0229360000;-77.1054570000
30496;BVS-828;Drive;Sep 30 2025 08:11 PM;;Av Elmer Faucett, Callao, Callao, Callao;14;N/A;;-12.0258520000;-77.1041090000
30495;BVS-828;Drive;Sep 30 2025 08:09 PM;;Av Lateral Faucett-4, Callao, Callao, Callao;28;N/A;;-12.0301310000;-77.1015910000
30494;BVS-828;Drive;Sep 30 2025 08:08 PM;;Av Lateral Faucett-14, Callao, Callao, Callao;32;N/A;;-12.0357840000;-77.0993110000
30493;BVS-828;Drive;Sep 30 2025 08:07 PM;;Javier Heraud, Carmen De La Legua Reynoso 07041, Peru;24;N/A;;-12.0384370000;-77.0988330000
30492;BVS-828;Drive;Sep 30 2025 08:07 PM;;2 De Mayo-90, Callao, Callao, Callao;16;N/A;;-12.0385180000;-77.0969040000
30491;BVS-828;Drive;Sep 30 2025 08:06 PM;;Av. 2 de Mayo 353, Carmen de La Legua - Reynoso 07041, Peru;17;N/A;;-12.0379880000;-77.0942720000
30490;BVS-828;Idle - Stop;Sep 30 2025 08:05 PM;;Malecon Rimac-40, San Martin De Porres, Lima, Lima [Province], Perú;0;N/A;;-12.0375860000;-77.0919720000
30489;BVS-828;Drive;Sep 30 2025 08:05 PM;;12 De Octubre, Lima 15106, Peru;16;N/A;;-12.0375080000;-77.0914090000
30488;BVS-828;Drive;Sep 30 2025 08:04 PM;;Puente Fernando Belaúnde Terry, Av. 12 de Octubre 1037, San Martín de Porres 15106, Peru;24;N/A;;-12.0380510000;-77.0911520000
30487;BVS-828;Drive;Sep 30 2025 08:04 PM;;Av Morales Duarez-43, Carmen De La Legua, Callao, Callao;19;N/A;;-12.0381110000;-77.0898920000
30486;BVS-828;Idle - Stop;Sep 30 2025 08:03 PM;;Av Morales Duarez-47, Carmen De La Legua, Callao, Callao;0;N/A;;-12.0380780000;-77.0897020000
30485;BVS-828;Idle - Stop;Sep 30 2025 08:02 PM;;Av Morales Duarez-73, Carmen De La Legua, Callao, Callao;0;N/A;;-12.0377460000;-77.0880930000
30484;BVS-828;Idle - Stop;Sep 30 2025 08:01 PM;;Av Morales Duarez-84, Carmen De La Legua, Callao, Callao;0;N/A;;-12.0376050000;-77.0873270000
30483;BVS-828;Idle - Stop;Sep 30 2025 08:00 PM;;Av Morales Duarez-22, Carmen De La Legua, Callao, Callao;0;N/A;;-12.0375360000;-77.0869780000
30482;BVS-828;Idle - Stop;Sep 30 2025 08:00 PM;;Av Morales Duarez-22, Carmen De La Legua, Callao, Callao;0;N/A;;-12.0375360000;-77.0869780000
30481;BVS-828;Idle - Stop;Sep 30 2025 07:59 PM;;Av Morales Duarez-34, Carmen De La Legua, Callao, Callao, Perú;0;N/A;;-12.0374290000;-77.0864220000
30480;BVS-828;Idle - Stop;Sep 30 2025 07:58 PM;;Av Morales Duarez-34, Carmen De La Legua, Callao, Callao, Perú;0;N/A;;-12.0374290000;-77.0864220000
30479;BVS-828;Idle - Stop;Sep 30 2025 07:57 PM;;Av Morales Duarez-89, Lima (cercado), Lima, Lima [Province];0;N/A;;-12.0367180000;-77.0827880000
30478;BVS-828;Drive;Sep 30 2025 07:56 PM;;Av Morales Duarez-11, Lima (cercado), Lima, Lima [Province], Perú;83;N/A;;-12.0355030000;-77.0761140000
30477;BVS-828;Speed alert;Sep 30 2025 07:56 PM;;Av Morales Duarez-98, Lima (cercado), Lima, Lima [Province];85;N/A;;-12.0351730000;-77.0743860000
30476;BVS-828;Drive;Sep 30 2025 07:55 PM;;Av Morales Duarez-17, Lima (cercado), Lima, Lima [Province], Perú;85;N/A;;-12.0355360000;-77.0632030000
30475;BVS-828;Speed alert;Sep 30 2025 07:55 PM;;Av Morales Duarez-7, Lima (cercado), Lima, Lima [Province], Perú;85;N/A;;-12.0355140000;-77.0634230000
30474;BVS-828;Drive;Sep 30 2025 07:54 PM;;Línea Amarilla 284, Distrito de Lima 15079, Peru;86;N/A;;-12.0361230000;-77.0504450000
30473;BVS-828;Drive;Sep 30 2025 07:53 PM;;Av Evitamiento-56, San Martin De Porres, Lima, Lima [Province], Perú;70;N/A;;-12.0389390000;-77.0385550000
