Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
18216;GKV878;Parked;Oct 08 2025 04:01 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997368000;-76.6550226000
18215;GKV878;Parked;Oct 08 2025 03:54 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997393000;-76.6550180000
18214;GKV878;Parked;Oct 08 2025 03:47 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997333000;-76.6550151000
18213;GKV878;Parked;Oct 08 2025 03:40 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997686000;-76.6549861000
18212;GKV878;Parked;Oct 08 2025 03:33 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997268000;-76.6549923000
18211;GKV878;Parked;Oct 08 2025 03:26 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997333000;-76.6550023000
18210;GKV878;Parked;Oct 08 2025 03:19 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997480000;-76.6550035000
18209;GKV878;Parked;Oct 08 2025 03:19 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997488000;-76.6550035000
18208;GKV878;Parked;Oct 08 2025 03:12 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997186000;-76.6550106000
18207;GKV878;Parked;Oct 08 2025 03:05 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997248000;-76.6549768000
18206;GKV878;Parked;Oct 08 2025 02:58 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997808000;-76.6549830000
18205;GKV878;Parked;Oct 08 2025 02:51 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997463000;-76.6549820000
18204;GKV878;Parked;Oct 08 2025 02:44 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997578000;-76.6549770000
18203;GKV878;Parked;Oct 08 2025 02:37 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997528000;-76.6549860000
18202;GKV878;Parked;Oct 08 2025 02:30 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997531000;-76.6550140000
18201;GKV878;Parked;Oct 08 2025 02:23 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997808000;-76.6550103000
18200;GKV878;Parked;Oct 08 2025 02:16 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997345000;-76.6549881000
18199;GKV878;Parked;Oct 08 2025 02:09 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6996866000;-76.6549658000
18198;GKV878;Parked;Oct 08 2025 02:02 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997130000;-76.6549720000
18197;GKV878;Parked;Oct 08 2025 01:55 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997011000;-76.6550050000
18196;GKV878;Parked;Oct 08 2025 01:48 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997020000;-76.6549968000
18195;GKV878;Parked;Oct 08 2025 01:41 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997251000;-76.6549756000
18194;GKV878;Parked;Oct 08 2025 01:34 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997240000;-76.6549985000
18193;GKV878;Parked;Oct 08 2025 01:27 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997140000;-76.6549635000
18192;GKV878;Parked;Oct 08 2025 01:20 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997381000;-76.6550088000
18191;GKV878;Parked;Oct 08 2025 01:13 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997228000;-76.6550121000
18190;GKV878;Parked;Oct 08 2025 01:06 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997096000;-76.6549925000
18189;GKV878;Parked;Oct 08 2025 12:59 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997073000;-76.6549971000
18188;GKV878;Parked;Oct 08 2025 12:52 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997108000;-76.6549885000
18187;GKV878;Parked;Oct 08 2025 12:45 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997043000;-76.6549833000
18186;GKV878;Parked;Oct 08 2025 12:38 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997678000;-76.6550083000
18185;GKV878;Parked;Oct 08 2025 12:31 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997503000;-76.6550206000
18184;GKV878;Parked;Oct 08 2025 12:24 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997160000;-76.6549980000
18183;GKV878;Parked;Oct 08 2025 12:17 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997055000;-76.6549860000
18182;GKV878;Parked;Oct 08 2025 12:10 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997280000;-76.6549891000
18181;GKV878;Parked;Oct 08 2025 12:03 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997176000;-76.6550008000
18180;GKV878;Parked;Oct 08 2025 11:56 AM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997340000;-76.6550083000
