Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
12607;WOP181;Parked;Oct 08 2025 03:59 PM;;Cra. 10a #39-2, Quibdó, Chocó, Colombia;0;N/A;;5.6998018000;-76.6550346000
12606;WOP181;Ignition OFF;Oct 08 2025 03:52 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6997991000;-76.6550336000
12605;WOP181;Idle - Stop;Oct 08 2025 03:52 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998378000;-76.6549460000
12604;WOP181;Idle - Stop;Oct 08 2025 03:45 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998175000;-76.6549528000
12603;WOP181;Idle - Stop;Oct 08 2025 03:38 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998558000;-76.6549698000
12602;WOP181;Idle - Stop;Oct 08 2025 03:31 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998478000;-76.6549605000
12601;WOP181;Idle - Stop;Oct 08 2025 03:24 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998551000;-76.6549650000
12600;WOP181;Idle - Stop;Oct 08 2025 03:17 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998341000;-76.6549723000
12599;WOP181;Idle - Stop;Oct 08 2025 03:10 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998438000;-76.6549550000
12598;WOP181;Idle - Stop;Oct 08 2025 03:03 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998410000;-76.6549630000
12597;WOP181;Idle - Stop;Oct 08 2025 02:56 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998398000;-76.6549490000
12596;WOP181;Idle - Stop;Oct 08 2025 02:49 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998528000;-76.6549598000
12595;WOP181;Idle - Stop;Oct 08 2025 02:42 PM;;Km 1001 de la vía Quibdo - Carmen del Atrato, , Chocó, Colombia;0;N/A;;5.6998008000;-76.6549796000
