Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
6303;HFX606;Parked;Jun 21 2025 11:35 AM;;Kr24 5-44, Bogota, Cundinamarca;0;N/A;;4.6011120000;-74.0943900000
6302;HFX606;Parked;Jun 21 2025 10:35 AM;;Kr24 5-44, Bogota, Cundinamarca;0;N/A;;4.6011120000;-74.0943900000
6301;HFX606;Parked;Jun 21 2025 09:34 AM;;Cl. 4b #20-84, Bogotá, Colombia;0;N/A;;4.5995350000;-74.0924940000
6300;HFX606;Parked;Jun 21 2025 08:34 AM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6299;HFX606;Parked;Jun 21 2025 07:34 AM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6298;HFX606;Parked;Jun 21 2025 06:34 AM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6297;HFX606;Parked;Jun 21 2025 05:34 AM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6296;HFX606;Parked;Jun 21 2025 04:33 AM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6295;HFX606;Parked;Jun 21 2025 03:33 AM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6294;HFX606;Parked;Jun 21 2025 02:33 AM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6293;HFX606;Parked;Jun 21 2025 01:33 AM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6292;HFX606;Parked;Jun 21 2025 12:33 AM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6291;HFX606;Parked;Jun 20 2025 11:32 PM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6290;HFX606;Parked;Jun 20 2025 10:32 PM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6289;HFX606;Parked;Jun 20 2025 09:32 PM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6288;HFX606;Parked;Jun 20 2025 08:32 PM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6287;HFX606;Parked;Jun 20 2025 07:32 PM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
6286;HFX606;Parked;Jun 20 2025 06:31 PM;;Cl5 24-36, Bogota, Cundinamarca;0;N/A;;4.6009830000;-74.0945750000
