Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
513;HSR591;Parked;Jun 21 2025 11:25 AM;;5QJH+9J Tello, Huila, Colombia;0;N/A;;3.1809130000;-75.2209130000
512;HSR591;Parked;Jun 21 2025 11:25 AM;;Villavieja, Tello, Huila, Colombia;0;N/A;;3.1810240000;-75.2209320000
511;HSR591;Ignición Apagada;Jun 21 2025 11:25 AM;;Villavieja, Tello, Huila, Colombia;0;N/A;;3.1810240000;-75.2209320000
510;HSR591;Idle - Stop;Jun 21 2025 11:25 AM;;Villavieja, Tello, Huila, Colombia;0;N/A;;3.1810240000;-75.2209320000
509;HSR591;Ignición Encendida;Jun 21 2025 11:25 AM;;Villavieja, Tello, Huila, Colombia;0;N/A;;3.1810240000;-75.2209320000
508;HSR591;Parked;Jun 21 2025 11:19 AM;;Villavieja, Tello, Huila, Colombia;0;N/A;;3.1810240000;-75.2209320000
507;HSR591;Parked;Jun 21 2025 11:18 AM;;Villavieja, Tello, Huila, Colombia;0;N/A;;3.1810240000;-75.2209320000
506;HSR591;Desplazándose - Ign. apagada;Jun 21 2025 11:18 AM;;Villavieja, Tello, Huila, Colombia;0;N/A;;3.1810240000;-75.2209320000
505;HSR591;Ignición Apagada;Jun 21 2025 11:18 AM;;Villavieja, Tello, Huila, Colombia;0;N/A;;3.1810240000;-75.2209320000
504;HSR591;Idle - Stop;Jun 21 2025 11:17 AM;;Neiva - Baraya- Villa Vieja-4, Villavieja, Huila, Colombia;0;N/A;;3.1823450000;-75.2205950000
503;HSR591;Drive;Jun 21 2025 11:16 AM;;Villavieja, Huila, Colombia;28;N/A;;3.1849900000;-75.2195710000
502;HSR591;Drive;Jun 21 2025 11:16 AM;;Neiva - Baraya- Villa Vieja, Villavieja, Huila, Colombia;17;N/A;;3.1851390000;-75.2194480000
501;HSR591;Idle - Stop;Jun 21 2025 11:16 AM;;Villavieja, Villavieja, Huila, Colombia;0;N/A;;3.1852240000;-75.2193550000
500;HSR591;Idle - Stop;Jun 21 2025 11:15 AM;;Villavieja - Baraya #2-38, Polonia, Villavieja, Huila, Colombia;0;N/A;;3.1851950000;-75.2193570000
499;HSR591;Idle - Stop;Jun 21 2025 11:14 AM;;Villavieja - Baraya #2-38, Polonia, Villavieja, Huila, Colombia;0;N/A;;3.1851950000;-75.2193570000
498;HSR591;Drive;Jun 21 2025 11:13 AM;;Neiva - Baraya- Villa Vieja, Villavieja, Huila, Colombia;28;N/A;;3.1836950000;-75.2202880000
497;HSR591;Idle - Stop;Jun 21 2025 11:12 AM;;5QJH+VP Tello, Huila, Colombia;0;N/A;;3.1821780000;-75.2206690000
496;HSR591;Idle - Stop;Jun 21 2025 11:11 AM;;5QJH+VP Tello, Huila, Colombia;0;N/A;;3.1821780000;-75.2206690000
495;HSR591;Drive;Jun 21 2025 11:10 AM;;5QJH+JM Tello, Huila, Colombia;28;N/A;;3.1816300000;-75.2208010000
494;HSR591;Idle - Stop;Jun 21 2025 11:10 AM;;Villavieja, Tello, Huila, Colombia;0;N/A;;3.1808690000;-75.2209180000
493;HSR591;Ignición Encendida;Jun 21 2025 11:09 AM;;Neiva - Baraya- Villa Vieja-4, Villavieja, Huila, Colombia;0;N/A;;3.1809250000;-75.2208770000
492;HSR591;Idle - Stop;Jun 21 2025 11:09 AM;;Neiva - Baraya- Villa Vieja-4, Villavieja, Huila, Colombia;0;N/A;;3.1809250000;-75.2208770000
491;HSR591;Parked;Jun 21 2025 11:09 AM;;Neiva - Baraya- Villa Vieja-4, Villavieja, Huila, Colombia;0;N/A;;3.1809250000;-75.2208770000
490;HSR591;Parked;Jun 21 2025 11:09 AM;;Neiva - Baraya- Villa Vieja-4, Villavieja, Huila, Colombia;0;N/A;;3.1809250000;-75.2208770000
489;HSR591;Desplazándose - Ign. apagada;Jun 21 2025 11:09 AM;;Neiva - Baraya- Villa Vieja-4, Villavieja, Huila, Colombia;0;N/A;;3.1809390000;-75.2208670000
