Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
9333;GUU552;Parked;Jun 11 2025 08:10 PM;;Cl51 96i-18, Bogota, Cundinamarca, Colombia;0;N/A;;4.6897396000;-74.1278375000
9332;GUU552;Parked;Jun 11 2025 08:05 PM;;Cl51 96i-18, Bogota, Cundinamarca, Colombia;0;N/A;;4.6897253000;-74.1278105000
9331;GUU552;Parked;Jun 11 2025 08:00 PM;;Cl51 96i-18, Bogota, Cundinamarca, Colombia;0;N/A;;4.6897471000;-74.1278340000
9330;GUU552;Parked;Jun 11 2025 07:55 PM;;Cl51 96i-18, Bogota, Cundinamarca, Colombia;0;N/A;;4.6897231000;-74.1278461000
9329;GUU552;Parked;Jun 11 2025 07:50 PM;;Cl51 96i-18, Bogota, Cundinamarca, Colombia;0;N/A;;4.6897070000;-74.1278196000
9328;GUU552;Parked;Jun 11 2025 07:45 PM;;Botanical Garden, Fontibón, Capital District;0;N/A;;4.6896955000;-74.1277771000
9327;GUU552;Parked;Jun 11 2025 07:45 PM;;Botanical Garden, Fontibón, Capital District;0;N/A;;4.6896978000;-74.1277758000
9326;GUU552;Parked;Jun 11 2025 07:40 PM;;Cl51 96i-20, Bogota, Cundinamarca, Colombia;0;N/A;;4.6897060000;-74.1277550000
9325;GUU552;Ignition OFF;Jun 11 2025 07:35 PM;;Cl51 96i-18, Bogota, Cundinamarca, Colombia;0;N/A;;4.6897173000;-74.1278165000
9324;GUU552;Drive;Jun 11 2025 07:34 PM;;Kr100 26-88, Bogota, Cundinamarca;12;N/A;;4.6892326000;-74.1281435000
9323;GUU552;Drive;Jun 11 2025 07:34 PM;;Cl51 96i-4, Bogota, Cundinamarca;0;N/A;;4.6891803000;-74.1281935000
9322;GUU552;Drive;Jun 11 2025 07:34 PM;;Kr103 26-70, Bogota, Cundinamarca;14;N/A;;4.6905718000;-74.1299070000
9321;GUU552;Drive;Jun 11 2025 07:34 PM;;Kr103 26-75, Bogota, Cundinamarca;14;N/A;;4.6907390000;-74.1299498000
9320;GUU552;Drive;Jun 11 2025 07:33 PM;;Kr103 26-79, Bogota, Cundinamarca;12;N/A;;4.6908298000;-74.1299743000
9319;GUU552;Drive;Jun 11 2025 07:33 PM;;Kr103 26-92, Bogota, Cundinamarca;17;N/A;;4.6909361000;-74.1302085000
9318;GUU552;Travel Start;Jun 11 2025 07:33 PM;;Kr103 26-58, Bogota, Cundinamarca;16;N/A;;4.6905125000;-74.1306301000
9317;GUU552;Travel Stop;Jun 11 2025 07:32 PM;;Cl26 101b-92, Bogota, Cundinamarca;0;N/A;;4.6898685000;-74.1308620000
9316;GUU552;Travel Start;Jun 11 2025 07:31 PM;;Cl26-32, Bogota, Cundinamarca;25;N/A;;4.6860056000;-74.1261833000
9315;GUU552;Travel Stop;Jun 11 2025 07:29 PM;;Cl26-86, Bogota, Cundinamarca;0;N/A;;4.6848503000;-74.1243561000
9314;GUU552;Travel Start;Jun 11 2025 07:29 PM;;Cl26-82, Bogota, Cundinamarca;8;N/A;;4.6848025000;-74.1242701000
9313;GUU552;Travel Stop;Jun 11 2025 07:28 PM;;Cl26-12, Bogota, Cundinamarca;0;N/A;;4.6840351000;-74.1233185000
9312;GUU552;Travel Start;Jun 11 2025 07:27 PM;;Cl26-45, Bogota, Cundinamarca;41;N/A;;4.6823973000;-74.1216693000
9311;GUU552;Travel Stop;Jun 11 2025 07:26 PM;;Cl26-45, Bogota, Cundinamarca;4;N/A;;4.6806875000;-74.1204576000
9310;GUU552;Drive;Jun 11 2025 07:26 PM;;Cl26-13, Bogota, Cundinamarca;35;N/A;;4.6801841000;-74.1201006000
9309;GUU552;Travel Start;Jun 11 2025 07:24 PM;;Cl26 47-59, Bogota, Cundinamarca;28;N/A;;4.6704950000;-74.1138623000
9308;GUU552;Travel Stop;Jun 11 2025 07:23 PM;;Kr73a 47-11, Bogota, Cundinamarca;4;N/A;;4.6692851000;-74.1129340000
9307;GUU552;Travel Start;Jun 11 2025 07:21 PM;;Kr73a 52b-35, Bogota, Cundinamarca;24;N/A;;4.6734108000;-74.1088080000
9306;GUU552;Travel Stop;Jun 11 2025 07:20 PM;;Kr73a 53-85, Bogota, Cundinamarca;0;N/A;;4.6741170000;-74.1080881000
9305;GUU552;Drive;Jun 11 2025 07:19 PM;;Kr73a 54-77, Bogota, Cundinamarca;9;N/A;;4.6746355000;-74.1075750000
9304;GUU552;Drive;Jun 11 2025 07:19 PM;;Cl55 73bis-26, Bogota, Cundinamarca;9;N/A;;4.6747965000;-74.1073946000
9303;GUU552;Travel Start;Jun 11 2025 07:18 PM;;Cl55 72b-43, Bogota, Cundinamarca, Colombia;30;N/A;;4.6738091000;-74.1063648000
9302;GUU552;Ignition ON;Jun 11 2025 07:18 PM;;Cl55 72-60, Bogota, Cundinamarca;0;N/A;;4.6731645000;-74.1056078000
9301;GUU552;Ignition OFF;Jun 11 2025 07:13 PM;;Cl55 72-51, Bogota, Cundinamarca;0;N/A;;4.6731731000;-74.1055438000
9300;GUU552;Travel Stop;Jun 11 2025 07:13 PM;;Cl55 72-51, Bogota, Cundinamarca;0;N/A;;4.6731800000;-74.1055383000
9299;GUU552;Drive;Jun 11 2025 07:13 PM;;Av Boyaca 55-26, Bogota, Cundinamarca;0;N/A;;4.6732456000;-74.1054373000
9298;GUU552;Drive;Jun 11 2025 07:13 PM;;Av Boyaca 55-37, Bogota, Cundinamarca, Colombia;12;N/A;;4.6733513000;-74.1053051000
9297;GUU552;Drive;Jun 11 2025 07:13 PM;;Av Boyaca 55-46, Bogota, Cundinamarca;0;N/A;;4.6733090000;-74.1050991000
9296;GUU552;Travel Start;Jun 11 2025 07:11 PM;;Via Principal-56, Bogota, Cundinamarca;9;N/A;;4.6814388000;-74.0991923000
9295;GUU552;Travel Stop;Jun 11 2025 07:10 PM;;Via Principal, Bogota, Cundinamarca;0;N/A;;4.6822563000;-74.0985961000
9294;GUU552;Travel Start;Jun 11 2025 07:09 PM;;Via Principal, Bogota, Cundinamarca;11;N/A;;4.6834760000;-74.0977406000
9293;GUU552;Travel Stop;Jun 11 2025 07:07 PM;;Av Boyaca 69a-37, Bogota, Cundinamarca;6;N/A;;4.6842256000;-74.0972250000
9292;GUU552;Travel Start;Jun 11 2025 07:06 PM;;Av Boyaca 74-47, Bogota, Cundinamarca;41;N/A;;4.6897655000;-74.0933083000
9291;GUU552;Travel Stop;Jun 11 2025 07:05 PM;;Via Principal, Bogota, Cundinamarca;0;N/A;;4.6909818000;-74.0924600000
