Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
6516;LPY964;Ignition OFF;Jun 11 2025 08:06 PM;;Kr96a 19, Bogota, Cundinamarca, Colombia;0;N/A;;4.6674346000;-74.1382505000
6515;LPY964;Travel Stop;Jun 11 2025 08:05 PM;;Kr96a 19, Bogota, Cundinamarca, Colombia;0;N/A;;4.6674113000;-74.1382698000
6514;LPY964;Idle - Stop;Jun 11 2025 08:05 PM;;Kr96a 17c, Bogota, Cundinamarca, Colombia;0;N/A;;4.6674560000;-74.1384606000
6513;LPY964;Drive;Jun 11 2025 08:05 PM;;Botanical Garden, Fontibón, Capital District;9;N/A;;4.6676828000;-74.1383541000
6512;LPY964;Travel Start;Jun 11 2025 08:03 PM;;Botanical Garden, Fontibón, Capital District;8;N/A;;4.6675980000;-74.1384190000
6511;LPY964;Travel Stop;Jun 11 2025 08:02 PM;;Kr96a 17c, Bogota, Cundinamarca, Colombia;0;N/A;;4.6676966000;-74.1382426000
6510;LPY964;Travel Start;Jun 11 2025 08:02 PM;;Kr96a 17c, Bogota, Cundinamarca, Colombia;11;N/A;;4.6677758000;-74.1381273000
6509;LPY964;Travel Stop;Jun 11 2025 08:01 PM;;Kr96a 19, Bogota, Cundinamarca, Colombia;1;N/A;;4.6684636000;-74.1375400000
6508;LPY964;Travel Start;Jun 11 2025 08:01 PM;;Kr96b 19a-78, Bogota, Cundinamarca, Colombia;25;N/A;;4.6693190000;-74.1381303000
6507;LPY964;Travel Stop;Jun 11 2025 07:59 PM;;Tr96b 20a-92, Bogota, Cundinamarca;0;N/A;;4.6700063000;-74.1379620000
6506;LPY964;Drive;Jun 11 2025 07:58 PM;;Tr96b 20d-67, Bogota, Cundinamarca;12;N/A;;4.6714781000;-74.1370263000
6505;LPY964;Drive;Jun 11 2025 07:58 PM;;Tr96b 20d-78, Bogota, Cundinamarca;12;N/A;;4.6716205000;-74.1370613000
6504;LPY964;Drive;Jun 11 2025 07:58 PM;;Tr96b 20d-78, Bogota, Cundinamarca;9;N/A;;4.6716730000;-74.1370918000
6503;LPY964;Travel Start;Jun 11 2025 07:58 PM;;Kr96c 21a-54, Bogota, Cundinamarca;14;N/A;;4.6717756000;-74.1369915000
6502;LPY964;Travel Stop;Jun 11 2025 07:57 PM;;Kr96c 22a-11, Bogota, Cundinamarca;0;N/A;;4.6724756000;-74.1360828000
6501;LPY964;Drive;Jun 11 2025 07:56 PM;;Cl22m 94b-15, Bogota, Cundinamarca;17;N/A;;4.6739360000;-74.1346103000
6500;LPY964;Drive;Jun 11 2025 07:56 PM;;Cl22m 94b-47, Bogota, Cundinamarca;14;N/A;;4.6745501000;-74.1349665000
6499;LPY964;Drive;Jun 11 2025 07:55 PM;;Carrera 96F # 23GBISB-2 a 23GBISB-100, Bogotá, Cundinamarca, Colombia;9;N/A;;4.6763985000;-74.1326720000
6498;LPY964;Travel Start;Jun 11 2025 07:54 PM;;Cl23gbisb 96gbis-20, Bogota, Cundinamarca;22;N/A;;4.6774460000;-74.1334026000
6497;LPY964;Travel Stop;Jun 11 2025 07:52 PM;;Av Luis Carlos Galan 96a-35, Bogota, Cundinamarca;0;N/A;;4.6791858000;-74.1318148000
6496;LPY964;Drive;Jun 11 2025 07:50 PM;;Av Luis Carlos Galan 90-77, Bogota, Cundinamarca;30;N/A;;4.6738423000;-74.1266823000
6495;LPY964;Drive;Jun 11 2025 07:50 PM;;Av Ciudad De Cali 24c, Bogota, Cundinamarca;27;N/A;;4.6737325000;-74.1242230000
6494;LPY964;Drive;Jun 11 2025 07:50 PM;;Av Ciudad De Cali 24c, Bogota, Cundinamarca;17;N/A;;4.6739143000;-74.1239553000
6493;LPY964;Travel Start;Jun 11 2025 07:48 PM;;Av Ciudad De Cali-85, Bogota, Cundinamarca;54;N/A;;4.6805838000;-74.1179331000
6492;LPY964;Travel Stop;Jun 11 2025 07:47 PM;;Cl52b 85j-44, Bogota, Cundinamarca;0;N/A;;4.6821171000;-74.1163320000
6491;LPY964;Travel Start;Jun 11 2025 07:46 PM;;Via Principal-18, Bogota, Cundinamarca;41;N/A;;4.6840541000;-74.1144935000
6490;LPY964;Travel Stop;Jun 11 2025 07:45 PM;;Av Ciudad De Cali-46, Bogota, Cundinamarca, Colombia;0;N/A;;4.6850993000;-74.1135105000
6489;LPY964;Travel Start;Jun 11 2025 07:44 PM;;Av Ciudad De Cali, Bogota, Cundinamarca;40;N/A;;4.6892768000;-74.1097086000
