Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
19195;PMW840;Ignition ON;Jun 11 2025 08:15 PM;;Cl6b 81b-65, Bogota, Cundinamarca;0;N/A;;4.6393456459;-74.1536483765
19194;PMW840;Parked;Jun 11 2025 07:39 PM;;Cl6b 81b-54, Bogota, Cundinamarca;0;N/A;;4.6392512321;-74.1534576416
19193;PMW840;Parked;Jun 11 2025 06:39 PM;;Cl6b 81b-65, Bogota, Cundinamarca;0;N/A;;4.6393742561;-74.1536560059
19192;PMW840;Parked;Jun 11 2025 05:39 PM;;Cl6b 81b-65, Bogota, Cundinamarca;0;N/A;;4.6393742561;-74.1536560059
19191;PMW840;Parked;Jun 11 2025 04:39 PM;;Cl6b 81b-65, Bogota, Cundinamarca;0;N/A;;4.6393742561;-74.1536560059
19190;PMW840;Towing/Drifting?;Jun 11 2025 03:39 PM;;Cl6b 81b-65, Bogota, Cundinamarca;9;N/A;;4.6393742561;-74.1536560059
19189;PMW840;Towing/Drifting?;Jun 11 2025 03:39 PM;;Cl6b 81b-65, Bogota, Cundinamarca;12;N/A;;4.6393303871;-74.1536788940
19188;PMW840;Ignition OFF;Jun 11 2025 02:47 PM;;Cl6b 81b-61, Bogota, Cundinamarca;0;N/A;;4.6393213272;-74.1535797119
19187;PMW840;Ignition ON;Jun 11 2025 02:47 PM;;Cl6b 81b-61, Bogota, Cundinamarca;0;N/A;;4.6393213272;-74.1535797119
19186;PMW840;Ignition OFF;Jun 11 2025 02:47 PM;;Cl6b 81b-61, Bogota, Cundinamarca;0;N/A;;4.6393213272;-74.1535797119
19185;PMW840;Idle - Stop;Jun 11 2025 02:46 PM;;Cl6b 81b-61, Bogota, Cundinamarca;0;N/A;;4.6393213272;-74.1535797119
19184;PMW840;Idle - Stop;Jun 11 2025 02:45 PM;;Cl6b 81b-61, Bogota, Cundinamarca;0;N/A;;4.6393213272;-74.1535797119
19183;PMW840;Idle - Stop;Jun 11 2025 02:44 PM;;Cl6b 81b-61, Bogota, Cundinamarca;0;N/A;;4.6393213272;-74.1535797119
19182;PMW840;Idle - Stop;Jun 11 2025 02:43 PM;;Cl6b 81b-61, Bogota, Cundinamarca;6;N/A;;4.6393213272;-74.1535797119
19181;PMW840;Idle - Stop;Jun 11 2025 02:43 PM;;Cl6b 81b-59, Bogota, Cundinamarca;4;N/A;;4.6392068863;-74.1535339355
19180;PMW840;Idle - Stop;Jun 11 2025 02:42 PM;;Cl6b 81b-51, Bogota, Cundinamarca;4;N/A;;4.6393694878;-74.1532821655
19179;PMW840;Drive;Jun 11 2025 02:42 PM;;Cl6b 81b-88, Bogota, Cundinamarca;16;N/A;;4.6398067474;-74.1535568237
19178;PMW840;Drive;Jun 11 2025 02:42 PM;;Cl6b 81b-96, Bogota, Cundinamarca;14;N/A;;4.6398367882;-74.1536636353
19177;PMW840;Drive;Jun 11 2025 02:41 PM;;Kr82a 6-88, Bogota, Cundinamarca;11;N/A;;4.6386923790;-74.1548614502
19176;PMW840;Drive;Jun 11 2025 02:40 PM;;Av Las Americas 80-83, Bogota, Cundinamarca;30;N/A;;4.6374573708;-74.1544189453
19175;PMW840;Drive;Jun 11 2025 02:39 PM;;Av Las Americas 78-49, Bogota, Cundinamarca;38;N/A;;4.6331515312;-74.1505355835
19174;PMW840;Drive;Jun 11 2025 02:38 PM;;Av Las Americas 73c-81, Bogota, Cundinamarca;22;N/A;;4.6312365532;-74.1431732178
19173;PMW840;Drive;Jun 11 2025 02:38 PM;;Av Las Americas 73c-73, Bogota, Cundinamarca;17;N/A;;4.6311244965;-74.1430740356
19172;PMW840;Drive;Jun 11 2025 02:38 PM;;Av Las Americas 73c-64, Bogota, Cundinamarca;17;N/A;;4.6309580803;-74.1431045532
19171;PMW840;Drive;Jun 11 2025 02:37 PM;;Av Las Americas 78a-98, Bogota, Cundinamarca;28;N/A;;4.6311821938;-74.1468505859
19170;PMW840;Idle - Stop;Jun 11 2025 02:36 PM;;Kr78k-10, Bogota, Cundinamarca;0;N/A;;4.6295189857;-74.1482543945
19169;PMW840;Drive;Jun 11 2025 02:35 PM;;Kr78k 6s-58, Bogota, Cundinamarca;38;N/A;;4.6279320717;-74.1497039795
19168;PMW840;Idle - Stop;Jun 11 2025 02:34 PM;;Kr78k 26s-48, Bogota, Cundinamarca;0;N/A;;4.6272892952;-74.1502685547
19167;PMW840;Drive;Jun 11 2025 02:33 PM;;Kr78k 35as-18, Bogota, Cundinamarca;46;N/A;;4.6256041527;-74.1518096924
19166;PMW840;Drive;Jun 11 2025 02:32 PM;;Kr78k 38bs-66, Bogota, Cundinamarca;17;N/A;;4.6227846146;-74.1544799805
19165;PMW840;Idle - Stop;Jun 11 2025 02:31 PM;;Cl38cs 78k-45, Bogota, Cundinamarca;0;N/A;;4.6229119301;-74.1547393799
19164;PMW840;Drive;Jun 11 2025 02:30 PM;;Cl38cs 78-4, Bogota, Cundinamarca;12;N/A;;4.6244540215;-74.1564331055
19163;PMW840;Idle - Stop;Jun 11 2025 02:29 PM;;Kr79 38cs-32, Bogota, Cundinamarca;0;N/A;;4.6242051125;-74.1567230225
19162;PMW840;Drive;Jun 11 2025 02:28 PM;;Cl41ds 78p-72, Bogota, Cundinamarca;37;N/A;;4.6207642555;-74.1599044800
19161;PMW840;Drive;Jun 11 2025 02:27 PM;;Kr79 42s-90, Bogota, Cundinamarca;14;N/A;;4.6196637154;-74.1616897583
19160;PMW840;Idle - Stop;Jun 11 2025 02:26 PM;;Cl42as 79-19, Bogota, Cundinamarca;6;N/A;;4.6197519302;-74.1618118286
19159;PMW840;Idle - Stop;Jun 11 2025 02:25 PM;;Cl42as 79a-27, Bogota, Cundinamarca;6;N/A;;4.6201295853;-74.1620407104
19158;PMW840;Idle - Stop;Jun 11 2025 02:24 PM;;Cl42as 79b-77, Bogota, Cundinamarca;6;N/A;;4.6207818985;-74.1624450684
19157;PMW840;Idle - Stop;Jun 11 2025 02:23 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19156;PMW840;Idle - Stop;Jun 11 2025 02:22 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19155;PMW840;Idle - Stop;Jun 11 2025 02:21 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19154;PMW840;Idle - Stop;Jun 11 2025 02:20 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19153;PMW840;Idle - Stop;Jun 11 2025 02:19 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19152;PMW840;Idle - Stop;Jun 11 2025 02:18 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19151;PMW840;Idle - Stop;Jun 11 2025 02:17 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19150;PMW840;Idle - Stop;Jun 11 2025 02:16 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19149;PMW840;Ignition ON;Jun 11 2025 02:15 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19148;PMW840;Ignition OFF;Jun 11 2025 02:08 PM;;Kr79c 42bs-9, Bogota, Cundinamarca, Colombia;0;N/A;;4.6204509735;-74.1629791260
19147;PMW840;Idle - Stop;Jun 11 2025 02:07 PM;;Kr79c 42bs-91, Bogota, Cundinamarca;6;N/A;;4.6201047897;-74.1636123657
19146;PMW840;Idle - Stop;Jun 11 2025 02:07 PM;;Kr79c 42ds-92, Bogota, Cundinamarca;4;N/A;;4.6198635101;-74.1640243530
