Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
663;TTV207;Parked;Jul 14 2025 10:05 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
662;TTV207;Parked;Jul 14 2025 09:05 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
661;TTV207;Parked;Jul 14 2025 08:05 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
660;TTV207;Parked;Jul 14 2025 07:05 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
659;TTV207;Parked;Jul 14 2025 06:04 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
658;TTV207;Parked;Jul 14 2025 05:04 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
657;TTV207;Parked;Jul 14 2025 04:04 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
656;TTV207;Parked;Jul 14 2025 03:04 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
655;TTV207;Parked;Jul 14 2025 02:04 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
654;TTV207;Parked;Jul 14 2025 01:04 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
653;TTV207;Parked;Jul 14 2025 12:04 PM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
652;TTV207;Parked;Jul 14 2025 11:03 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784550000;-73.8551050000
651;TTV207;Parked;Jul 14 2025 09:04 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
650;TTV207;Parked;Jul 14 2025 09:03 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
649;TTV207;Towing/Drifting?;Jul 14 2025 09:03 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
648;TTV207;Ignition OFF;Jul 14 2025 09:03 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
647;TTV207;Idle - Stop;Jul 14 2025 09:03 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
646;TTV207;Idle - Stop;Jul 14 2025 09:03 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
645;TTV207;Idle - Stop;Jul 14 2025 09:02 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
644;TTV207;Idle - Stop;Jul 14 2025 09:01 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
643;TTV207;Idle - Stop;Jul 14 2025 09:00 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
642;TTV207;Idle - Stop;Jul 14 2025 08:59 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784880000;-73.8551980000
641;TTV207;Idle - Stop;Jul 14 2025 08:58 AM;;Cl. 74 #20-30, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784610000;-73.8552190000
640;TTV207;Idle - Stop;Jul 14 2025 08:58 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784480000;-73.8551880000
639;TTV207;Ignition ON;Jul 14 2025 08:58 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784480000;-73.8551880000
638;TTV207;Parked;Jul 14 2025 08:38 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784480000;-73.8551880000
637;TTV207;Parked;Jul 14 2025 08:37 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784480000;-73.8551880000
636;TTV207;Towing/Drifting?;Jul 14 2025 08:37 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784480000;-73.8551880000
635;TTV207;Ignition OFF;Jul 14 2025 08:37 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784480000;-73.8551880000
634;TTV207;Idle - Stop;Jul 14 2025 08:36 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784480000;-73.8551880000
633;TTV207;Idle - Stop;Jul 14 2025 08:35 AM;;Cl. 74 #2054, Barrancabermeja, Santander, Colombia;0;N/A;;7.0784530000;-73.8551850000
632;TTV207;Ignition ON;Jul 14 2025 08:35 AM;;Cl. 74 #20-30, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785030000;-73.8552290000
631;TTV207;Idle - Stop;Jul 14 2025 08:35 AM;;Cl. 74 #20-30, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785030000;-73.8552290000
630;TTV207;Parked;Jul 14 2025 08:13 AM;;Cl. 74 #20-30, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785030000;-73.8552290000
629;TTV207;Parked;Jul 14 2025 08:12 AM;;Cl. 74 #20-30, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785030000;-73.8552290000
628;TTV207;Towing/Drifting?;Jul 14 2025 08:12 AM;;Cl. 74 #20-30, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785030000;-73.8552290000
627;TTV207;Ignition OFF;Jul 14 2025 08:12 AM;;Cl. 74 #20-30, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785030000;-73.8552290000
626;TTV207;Idle - Stop;Jul 14 2025 08:12 AM;;Cl. 74 #20-30, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785030000;-73.8552290000
625;TTV207;Idle - Stop;Jul 14 2025 08:11 AM;;Cl. 74 #20-30, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785030000;-73.8552290000
624;TTV207;Ignition ON;Jul 14 2025 08:10 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
623;TTV207;Idle - Stop;Jul 14 2025 08:10 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
622;TTV207;Parked;Jul 14 2025 07:43 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
621;TTV207;Parked;Jul 14 2025 06:43 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
620;TTV207;Parked;Jul 14 2025 05:43 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
619;TTV207;Parked;Jul 14 2025 04:43 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
618;TTV207;Parked;Jul 14 2025 03:43 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
617;TTV207;Parked;Jul 14 2025 02:43 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
616;TTV207;Parked;Jul 14 2025 01:42 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
615;TTV207;Parked;Jul 14 2025 12:42 AM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
614;TTV207;Parked;Jul 13 2025 11:42 PM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
613;TTV207;Parked;Jul 13 2025 10:42 PM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
612;TTV207;Parked;Jul 13 2025 09:42 PM;;Cl. 74 #20 - 81, Barrancabermeja, Santander, Colombia;0;N/A;;7.0786530000;-73.8548500000
611;TTV207;Parked;Jul 13 2025 08:42 PM;;Cra. 21 #73-52, Barrancabermeja, Santander, Colombia;0;N/A;;7.0782510000;-73.8542650000
610;TTV207;Parked;Jul 13 2025 08:42 PM;;Cra. 21 #73-52, Barrancabermeja, Santander, Colombia;0;N/A;;7.0782510000;-73.8542650000
609;TTV207;Ignition OFF;Jul 13 2025 08:42 PM;;Cra. 21 #73-52, Barrancabermeja, Santander, Colombia;0;N/A;;7.0782510000;-73.8542650000
608;TTV207;Towing/Drifting?;Jul 13 2025 08:42 PM;;Cra. 21 #73-52, Barrancabermeja, Santander, Colombia;0;N/A;;7.0782510000;-73.8542650000
607;TTV207;Idle - Stop;Jul 13 2025 08:41 PM;;Cra. 21 #73-52, Barrancabermeja, Santander, Colombia;0;N/A;;7.0782510000;-73.8542650000
606;TTV207;Idle - Stop;Jul 13 2025 08:41 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0781680000;-73.8547620000
605;TTV207;Ignition ON;Jul 13 2025 08:41 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0781680000;-73.8547620000
604;TTV207;Parked;Jul 13 2025 08:40 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0781680000;-73.8547620000
603;TTV207;Ignition OFF;Jul 13 2025 08:40 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0781680000;-73.8547620000
602;TTV207;Towing/Drifting?;Jul 13 2025 08:40 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0781680000;-73.8547620000
601;TTV207;Idle - Stop;Jul 13 2025 08:40 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0781680000;-73.8547620000
600;TTV207;Idle - Stop;Jul 13 2025 08:40 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0782970000;-73.8548090000
599;TTV207;Ignition ON;Jul 13 2025 08:40 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0782970000;-73.8548090000
598;TTV207;Parked;Jul 13 2025 08:39 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0782970000;-73.8548090000
597;TTV207;Parked;Jul 13 2025 08:39 PM;;Cl. 74 #20-90, Barrancabermeja, Santander, Colombia;0;N/A;;7.0782970000;-73.8548090000
596;TTV207;Towing/Drifting?;Jul 13 2025 08:38 PM;;Cl74 20-37, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785180000;-73.8551700000
595;TTV207;Ignition OFF;Jul 13 2025 08:38 PM;;Cl74 20-37, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785180000;-73.8551700000
594;TTV207;Ignition ON;Jul 13 2025 08:38 PM;;Cl74 20-37, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785180000;-73.8551700000
593;TTV207;Idle - Stop;Jul 13 2025 08:38 PM;;Cl74 20-37, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785180000;-73.8551700000
592;TTV207;Parked;Jul 13 2025 08:25 PM;;Cl74 20-37, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785180000;-73.8551700000
591;TTV207;Parked;Jul 13 2025 07:25 PM;;Cl74 20-37, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785180000;-73.8551700000
590;TTV207;Parked;Jul 13 2025 06:25 PM;;Cl74 20-37, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785180000;-73.8551700000
589;TTV207;Parked;Jul 13 2025 05:25 PM;;Cl74 20-37, Barrancabermeja, Santander, Colombia;0;N/A;;7.0785180000;-73.8551700000
