Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
617;TTV173;Parked;Aug 06 2025 11:42 AM;;South America, Bucaramanga, Santander;0;N/A;;7.1391996000;-73.1324018000
616;TTV173;Parked;Aug 06 2025 11:33 AM;;South America, Bucaramanga, Santander;0;N/A;;7.1391701000;-73.1324558000
615;TTV173;Parked;Aug 06 2025 11:25 AM;;Cl6 15-62, Bucaramanga, Santander, Colombia;0;N/A;;7.1391636000;-73.1325841000
614;TTV173;Parked;Aug 06 2025 11:16 AM;;Carrera 15 #5-1 a 5-91, Bucaramanga, Bucaramanga, Santander, Colombia;0;N/A;;7.1392258000;-73.1326061000
613;TTV173;Parked;Aug 06 2025 11:08 AM;;Carrera 15 #5-1 a 5-91, Bucaramanga, Bucaramanga, Santander, Colombia;0;N/A;;7.1392330000;-73.1326190000
612;TTV173;Parked;Aug 06 2025 10:59 AM;;Cl6 15-30, Bucaramanga, Santander, Colombia;0;N/A;;7.1391553000;-73.1326053000
611;TTV173;Parked;Aug 06 2025 10:51 AM;;Cl6 15-55, Bucaramanga, Santander, Colombia;0;N/A;;7.1392286000;-73.1325578000
610;TTV173;Parked;Aug 06 2025 10:42 AM;;Kr15 5-63, Bucaramanga, Santander;0;N/A;;7.1394755000;-73.1328131000
609;TTV173;Parked;Aug 06 2025 10:34 AM;;Cl6 15-30, Bucaramanga, Santander, Colombia;0;N/A;;7.1391103000;-73.1326008000
608;TTV173;Parked;Aug 06 2025 10:25 AM;;Cl6 15-47, Bucaramanga, Santander, Colombia;0;N/A;;7.1393111000;-73.1326546000
607;TTV173;Parked;Aug 06 2025 10:17 AM;;Cl6 15-54, Bucaramanga, Santander, Colombia;0;N/A;;7.1390626000;-73.1325010000
606;TTV173;Parked;Aug 06 2025 10:08 AM;;South America, Bucaramanga, Santander;0;N/A;;7.1391978000;-73.1324556000
605;TTV173;Parked;Aug 06 2025 10:00 AM;;South America, Bucaramanga, Santander;0;N/A;;7.1391026000;-73.1324246000
604;TTV173;Parked;Aug 06 2025 09:54 AM;;South America, Bucaramanga, Santander;0;N/A;;7.1391156000;-73.1324471000
603;TTV173;Parked;Aug 06 2025 09:51 AM;;South America, Bucaramanga, Santander;0;N/A;;7.1391786000;-73.1324568000
