Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
1487;COMPRESOR-AF23;Ignition ON;Aug 21 2025 04:33 PM;;;0;N/A;;-12.4865900000;-76.7333430000
1486;COMPRESOR-AF23;POWER UP;Aug 21 2025 04:33 PM;;;0;N/A;;-12.4865900000;-76.7333430000
1485;COMPRESOR-AF23;Idle Alert;Aug 21 2025 04:22 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4865876000;-76.7333408000
1484;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 04:20 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4865805000;-76.7333190000
1483;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 04:03 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4865900000;-76.7333426000
1482;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 03:51 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866063000;-76.7333443000
1481;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 03:43 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866038000;-76.7333415000
1480;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 03:29 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866150000;-76.7333751000
1479;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 03:13 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4865726000;-76.7333625000
1478;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 02:51 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4865745000;-76.7333441000
1477;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 02:41 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4865745000;-76.7333825000
1476;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 02:33 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4865973000;-76.7333440000
1475;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 02:24 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866278000;-76.7333505000
1474;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 02:18 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866411000;-76.7333638000
1473;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 02:09 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4865873000;-76.7333555000
1472;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 02:01 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866091000;-76.7333478000
1471;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 01:53 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866005000;-76.7333443000
1470;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 01:44 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866058000;-76.7333348000
1469;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 01:36 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866098000;-76.7333410000
1468;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 01:28 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4866390000;-76.7333631000
1467;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 01:19 PM;;G778+6PW, AV 15 de enero, Chilca 15870, Peru;0;N/A;;-12.4865956000;-76.7333446000
1466;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 01:09 PM;;Unnamed Road, Peru;0;N/A;;-12.4865328000;-76.7337776000
1465;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 12:59 PM;;Unnamed Road, Peru;0;N/A;;-12.4865376000;-76.7337730000
1464;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 12:46 PM;;Unnamed Road, Peru;0;N/A;;-12.4865551000;-76.7337666000
1463;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 12:31 PM;;Unnamed Road, Peru;0;N/A;;-12.4865183000;-76.7337726000
1462;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 12:23 PM;;Unnamed Road, Peru;0;N/A;;-12.4865258000;-76.7337598000
1461;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 12:11 PM;;Unnamed Road, Peru;0;N/A;;-12.4865203000;-76.7337606000
1460;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 12:03 PM;;Unnamed Road, Peru;0;N/A;;-12.4865273000;-76.7337606000
1459;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 11:46 AM;;Unnamed Road, Peru;0;N/A;;-12.4865123000;-76.7337595000
1458;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 11:33 AM;;Unnamed Road, Peru;0;N/A;;-12.4865283000;-76.7337615000
1457;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 11:14 AM;;Unnamed Road, Peru;0;N/A;;-12.4865506000;-76.7337715000
1456;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 10:43 AM;;Unnamed Road, Chilca, Peru;0;N/A;;-12.4864956000;-76.7337710000
1455;COMPRESOR-AF23;Idle Alert;Aug 21 2025 10:31 AM;;Unnamed Road, Peru;0;N/A;;-12.4865288000;-76.7337745000
1454;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 10:29 AM;;Unnamed Road, Peru;0;N/A;;-12.4865273000;-76.7337601000
1453;COMPRESOR-AF23;Travel Stop;Aug 21 2025 10:26 AM;;Unnamed Road, Peru;3;N/A;;-12.4865351000;-76.7337708000
1452;COMPRESOR-AF23;Drive;Aug 21 2025 10:25 AM;;Via Principal, Chilca, Lima, Lima [Province], Perú;12;N/A;;-12.4869085000;-76.7348603000
1451;COMPRESOR-AF23;Drive;Aug 21 2025 10:25 AM;;Unnamed Road, Chilca, Peru;9;N/A;;-12.4864445000;-76.7351118000
1450;COMPRESOR-AF23;Drive;Aug 21 2025 10:25 AM;;South America, Lima;0;N/A;;-12.4863966000;-76.7351643000
1449;COMPRESOR-AF23;Travel Start;Aug 21 2025 10:24 AM;;Unnamed Road, Chilca, Peru;12;N/A;;-12.4866796000;-76.7360725000
1448;COMPRESOR-AF23;Idle Alert;Aug 21 2025 07:50 AM;;Via Principal, Chilca, Lima, Lima [Province], Perú;0;N/A;;-12.4871681000;-76.7356700000
1447;COMPRESOR-AF23;Idle - Stop;Aug 21 2025 07:48 AM;;Via Principal, Chilca, Lima, Lima [Province], Perú;0;N/A;;-12.4871776000;-76.7356726000
1446;COMPRESOR-AF23;Travel Stop;Aug 21 2025 07:45 AM;;Via Principal, Chilca, Lima, Lima [Province], Perú;0;N/A;;-12.4872343000;-76.7358240000
