Secuencia;Unidad;Eventos;Fecha;Pt. Referencia;Dirección;Velocidad;Temperatura;Conductor;Latitud;Longitud
3411;WGH169;Estacionado;Dec 26 2025 12:53 PM;;Cl129 53, Bogota, Cundinamarca, Colombia;0;N/A;;4.7164421000;-74.0595516000
3410;WGH169;Ignición Apagada;Dec 26 2025 12:43 PM;;Cl. 129 #53-44, Bogotá, Cundinamarca, Colombia;0;N/A;;4.7164033000;-74.0596365000
3409;WGH169;Viaje detenido;Dec 26 2025 12:41 PM;;Cl129 53, Bogota, Cundinamarca;0;N/A;;4.7163845000;-74.0596110000
3408;WGH169;Conduciendo;Dec 26 2025 12:40 PM;;Cl129 51-14, Bogota, Cundinamarca;0;N/A;;4.7161103000;-74.0577283000
3407;WGH169;Inmóvil - Detenido;Dec 26 2025 12:40 PM;;Cl129 51-14, Bogota, Cundinamarca;0;N/A;;4.7161103000;-74.0577283000
3406;WGH169;Inicio de Viaje;Dec 26 2025 12:39 PM;;Kr51 130-56, Bogota, Cundinamarca;22;N/A;;4.7173740000;-74.0574336000
3405;WGH169;Alerta de Inmovilidad;Dec 26 2025 12:28 PM;;Cl134a 47-93, Bogota, Cundinamarca;0;N/A;;4.7200383000;-74.0552995000
3404;WGH169;Inmóvil - Detenido;Dec 26 2025 12:26 PM;;Cl134a 47-77, Bogota, Cundinamarca;0;N/A;;4.7200570000;-74.0551420000
3403;WGH169;Viaje detenido;Dec 26 2025 12:23 PM;;Cl134a 45-96, Bogota, Cundinamarca;3;N/A;;4.7197163000;-74.0528651000
3402;WGH169;Conduciendo;Dec 26 2025 12:23 PM;;Kr45a 134-88, Bogota, Cundinamarca;9;N/A;;4.7193100000;-74.0528908000
3401;WGH169;Inicio de Viaje;Dec 26 2025 12:21 PM;;Av Puente-27, Bogota, Cundinamarca;8;N/A;;4.7189353000;-74.0512048000
3400;WGH169;Viaje detenido;Dec 26 2025 12:19 PM;;Kr19a 134bis-97, Bogota, Cundinamarca;4;N/A;;4.7182440000;-74.0482416000
3399;WGH169;Inicio de Viaje;Dec 26 2025 12:18 PM;;Av Contador 19-10, Bogota, Cundinamarca;22;N/A;;4.7179090000;-74.0472340000
3398;WGH169;Viaje detenido;Dec 26 2025 12:17 PM;;Av Contador 17-59, Bogota, Cundinamarca;0;N/A;;4.7175626000;-74.0462730000
3397;WGH169;Inicio de Viaje;Dec 26 2025 12:16 PM;;Kr15 134-4, Bogota, Cundinamarca;11;N/A;;4.7165066000;-74.0433225000
3396;WGH169;Viaje detenido;Dec 26 2025 12:15 PM;;Av Contador 13-43, Bogota, Cundinamarca;0;N/A;;4.7161636000;-74.0423360000
3395;WGH169;Inicio de Viaje;Dec 26 2025 12:13 PM;;Av Contador 9-42, Bogota, Cundinamarca;32;N/A;;4.7130711000;-74.0332380000
3394;WGH169;Viaje detenido;Dec 26 2025 12:11 PM;;Av Contador 8-48, Bogota, Cundinamarca;0;N/A;;4.7126900000;-74.0322443000
3393;WGH169;Inicio de Viaje;Dec 26 2025 12:11 PM;;Av Contador 7a-83, Bogota, Cundinamarca;22;N/A;;4.7125601000;-74.0318110000
3392;WGH169;Viaje detenido;Dec 26 2025 12:09 PM;;Av Contador 7b-73, Bogota, Cundinamarca;0;N/A;;4.7122595000;-74.0308208000
3391;WGH169;Conduciendo;Dec 26 2025 12:09 PM;;Entrada A La Cl134-97, Bogota, Cundinamarca;11;N/A;;4.7122440000;-74.0307158000
3390;WGH169;Conduciendo;Dec 26 2025 12:09 PM;;Entrada A La CL134, Bogotá Distrito Capital, Cundinamarca, Colombia;17;N/A;;4.7122405000;-74.0305690000
3389;WGH169;Conduciendo;Dec 26 2025 12:08 PM;;Kr7 135-56, Bogota, Cundinamarca;33;N/A;;4.7138743000;-74.0291845000
3388;WGH169;Inicio de Viaje;Dec 26 2025 12:06 PM;;Kr7 146-18, Bogota, Cundinamarca;32;N/A;;4.7215480000;-74.0263175000
