Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
3295;PM-03;Parked;Sep 30 2025 09:12 PM;;XVCJ+3C Callao, Peru;0;N/A;;-12.0297775269;-77.1189804077
3294;PM-03;Parked;Sep 30 2025 05:12 PM;;XVCJ+3C Callao, Peru;0;N/A;;-12.0297775269;-77.1189804077
3293;PM-03;Parked;Sep 30 2025 01:12 PM;;XVCJ+3C Callao, Peru;0;N/A;;-12.0297775269;-77.1189804077
3292;PM-03;Ignition OFF;Sep 30 2025 09:11 AM;;XVCJ+3C Callao, Peru;0;N/A;;-12.0297775269;-77.1189804077
3291;PM-03;Idle - Stop;Sep 30 2025 09:11 AM;;XVCJ+4C Callao, Peru;6;N/A;;-12.0296478271;-77.1189880371
3290;PM-03;Drive;Sep 30 2025 09:10 AM;;Av A, Callao, Callao, Callao, Perú;9;N/A;;-12.0293912888;-77.1185455322
3289;PM-03;Idle - Stop;Sep 30 2025 09:10 AM;;Av A, Callao, Callao, Callao, Perú;4;N/A;;-12.0292720795;-77.1185073853
3288;PM-03;Idle - Stop;Sep 30 2025 09:10 AM;;Av A, Callao, Callao, Callao, Perú;6;N/A;;-12.0292215347;-77.1184844971
3287;PM-03;Ignition ON;Sep 30 2025 09:10 AM;;Av A, Callao, Callao, Callao, Perú;0;N/A;;-12.0293893814;-77.1183471680
3286;PM-03;Ignition OFF;Sep 30 2025 09:09 AM;;Av A, Callao, Callao, Callao, Perú;0;N/A;;-12.0293893814;-77.1183471680
3285;PM-03;Ignition ON;Sep 30 2025 09:09 AM;;Av A, Callao, Callao, Callao, Perú;0;N/A;;-12.0293893814;-77.1183471680
3284;PM-03;Ignition OFF;Sep 30 2025 09:09 AM;;Av A, Callao, Callao, Callao, Perú;0;N/A;;-12.0293893814;-77.1183471680
3283;PM-03;Ignition ON;Sep 30 2025 09:09 AM;;Av A, Callao, Callao, Callao, Perú;0;N/A;;-12.0293893814;-77.1183471680
3282;PM-03;Ignition OFF;Sep 30 2025 07:17 AM;;Av A, Callao, Callao, Callao, Perú;0;N/A;;-12.0293893814;-77.1183471680
3281;PM-03;Idle - Stop;Sep 30 2025 07:16 AM;;Av A, Callao, Callao, Callao, Perú;6;N/A;;-12.0293893814;-77.1183471680
3280;PM-03;Ignition ON;Sep 30 2025 07:15 AM;;XVCJ+38 Callao, Peru;0;N/A;;-12.0297889709;-77.1191482544
3279;PM-03;Ignition OFF;Sep 30 2025 07:15 AM;;XVCJ+38 Callao, Peru;0;N/A;;-12.0297889709;-77.1191482544
3278;PM-03;Idle - Stop;Sep 30 2025 07:15 AM;;XVCJ+38 Callao, Peru;0;N/A;;-12.0297889709;-77.1191482544
3277;PM-03;Ignition ON;Sep 30 2025 07:14 AM;;XVCJ+38 Callao, Peru;0;N/A;;-12.0297889709;-77.1191482544
3276;PM-03;Parked;Sep 30 2025 07:14 AM;;XVCJ+38 Callao, Peru;0;N/A;;-12.0297889709;-77.1191482544
3275;PM-03;Parked;Sep 30 2025 07:14 AM;;XVCJ+38 Callao, Peru;0;N/A;;-12.0297889709;-77.1191482544
3274;PM-03;Ignition OFF;Sep 30 2025 07:14 AM;;XVCJ+38 Callao, Peru;0;N/A;;-12.0297889709;-77.1191482544
3273;PM-03;Ignition ON;Sep 30 2025 07:13 AM;;XVCJ+38 Callao, Peru;0;N/A;;-12.0297889709;-77.1191482544
