Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
172;HITACHI 4848;Parked;Oct 30 2025 12:19 PM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
171;HITACHI 4848;Parked;Oct 30 2025 11:19 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
170;HITACHI 4848;Ignition OFF;Oct 30 2025 11:19 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
169;HITACHI 4848;Idle - Stop;Oct 30 2025 11:18 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
168;HITACHI 4848;Idle - Stop;Oct 30 2025 11:17 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
167;HITACHI 4848;Idle - Stop;Oct 30 2025 11:16 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
166;HITACHI 4848;Idle - Stop;Oct 30 2025 11:15 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
165;HITACHI 4848;Idle - Stop;Oct 30 2025 11:14 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
164;HITACHI 4848;Idle - Stop;Oct 30 2025 11:13 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
163;HITACHI 4848;Idle - Stop;Oct 30 2025 11:12 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
162;HITACHI 4848;Idle - Stop;Oct 30 2025 11:11 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789660000;-74.5320950000
161;HITACHI 4848;Idle - Stop;Oct 30 2025 11:10 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789570000;-74.5321010000
160;HITACHI 4848;Idle - Stop;Oct 30 2025 11:09 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789430000;-74.5321120000
159;HITACHI 4848;Idle - Stop;Oct 30 2025 11:08 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789430000;-74.5321120000
158;HITACHI 4848;Idle - Stop;Oct 30 2025 11:07 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789430000;-74.5321120000
157;HITACHI 4848;Idle - Stop;Oct 30 2025 11:06 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789430000;-74.5321120000
156;HITACHI 4848;Idle - Stop;Oct 30 2025 11:05 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789400000;-74.5321160000
155;HITACHI 4848;Idle - Stop;Oct 30 2025 11:04 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789400000;-74.5321160000
154;HITACHI 4848;Idle - Stop;Oct 30 2025 11:04 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789580000;-74.5321120000
153;HITACHI 4848;Idle - Stop;Oct 30 2025 11:03 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789610000;-74.5321100000
152;HITACHI 4848;Idle - Stop;Oct 30 2025 11:02 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789470000;-74.5321110000
151;HITACHI 4848;Idle - Stop;Oct 30 2025 11:01 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789470000;-74.5321110000
150;HITACHI 4848;Idle - Stop;Oct 30 2025 11:01 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789400000;-74.5321170000
149;HITACHI 4848;Idle - Stop;Oct 30 2025 11:00 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789170000;-74.5321310000
148;HITACHI 4848;Idle - Stop;Oct 30 2025 10:59 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789140000;-74.5321230000
147;HITACHI 4848;Idle - Stop;Oct 30 2025 10:58 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789100000;-74.5321230000
146;HITACHI 4848;Idle - Stop;Oct 30 2025 10:57 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789160000;-74.5321180000
145;HITACHI 4848;Idle - Stop;Oct 30 2025 10:56 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789130000;-74.5321190000
144;HITACHI 4848;Idle - Stop;Oct 30 2025 10:56 AM;;Cra. 7 #7-05, Icononzo, Tolima, Colombia;0;N/A;;4.1788830000;-74.5321330000
143;HITACHI 4848;Idle - Stop;Oct 30 2025 10:55 AM;;Cra. 7 #7-05, Icononzo, Tolima, Colombia;0;N/A;;4.1788440000;-74.5321430000
142;HITACHI 4848;Idle - Stop;Oct 30 2025 10:54 AM;;Cra. 7 #7-05, Icononzo, Tolima, Colombia;0;N/A;;4.1788190000;-74.5321550000
141;HITACHI 4848;Idle - Stop;Oct 30 2025 10:54 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787550000;-74.5321680000
140;HITACHI 4848;Idle - Stop;Oct 30 2025 10:53 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787550000;-74.5321680000
139;HITACHI 4848;Idle - Stop;Oct 30 2025 10:52 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787550000;-74.5321680000
138;HITACHI 4848;Idle - Stop;Oct 30 2025 10:50 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787610000;-74.5321770000
137;HITACHI 4848;Idle - Stop;Oct 30 2025 10:49 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787730000;-74.5321570000
136;HITACHI 4848;Idle - Stop;Oct 30 2025 10:49 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787670000;-74.5321630000
135;HITACHI 4848;Idle - Stop;Oct 30 2025 10:48 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787630000;-74.5321620000
134;HITACHI 4848;Idle - Stop;Oct 30 2025 10:47 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787630000;-74.5321620000
133;HITACHI 4848;Idle - Stop;Oct 30 2025 10:46 AM;;Cra. 7 #7-05, Icononzo, Tolima, Colombia;0;N/A;;4.1788190000;-74.5321520000
132;HITACHI 4848;Idle - Stop;Oct 30 2025 10:45 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789020000;-74.5321220000
131;HITACHI 4848;Idle - Stop;Oct 30 2025 10:44 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789210000;-74.5321190000
130;HITACHI 4848;Idle - Stop;Oct 30 2025 10:44 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789500000;-74.5321110000
129;HITACHI 4848;Idle - Stop;Oct 30 2025 10:43 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789470000;-74.5321180000
128;HITACHI 4848;Idle - Stop;Oct 30 2025 10:43 AM;;Cl. 6 # 7-65, Icononzo, Tolima, Colombia;0;N/A;;4.1789270000;-74.5321240000
127;HITACHI 4848;Idle - Stop;Oct 30 2025 10:42 AM;;Cra. 7 #7-05, Icononzo, Tolima, Colombia;0;N/A;;4.1788480000;-74.5321620000
126;HITACHI 4848;Idle - Stop;Oct 30 2025 10:42 AM;;Cra. 7 #7-05, Icononzo, Tolima, Colombia;0;N/A;;4.1788610000;-74.5321430000
125;HITACHI 4848;Idle - Stop;Oct 30 2025 10:41 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787910000;-74.5321710000
124;HITACHI 4848;Idle - Stop;Oct 30 2025 10:40 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787590000;-74.5321740000
123;HITACHI 4848;Idle - Stop;Oct 30 2025 10:39 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787660000;-74.5321800000
122;HITACHI 4848;Idle - Stop;Oct 30 2025 10:38 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787640000;-74.5321740000
121;HITACHI 4848;Idle - Stop;Oct 30 2025 10:37 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787640000;-74.5321740000
120;HITACHI 4848;Idle - Stop;Oct 30 2025 10:36 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787640000;-74.5321740000
119;HITACHI 4848;Idle - Stop;Oct 30 2025 10:35 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787640000;-74.5321740000
118;HITACHI 4848;Idle - Stop;Oct 30 2025 10:34 AM;;Cl. 6 # 7-37, Icononzo, Tolima, Colombia;0;N/A;;4.1787640000;-74.5321740000
