Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
225;DGZ415;Parked;Jun 24 2025 09:27 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5502670000;-75.1748270000
224;DGZ415;Parked;Jun 24 2025 09:26 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5502670000;-75.1748270000
223;DGZ415;Towing/Drifting?;Jun 24 2025 09:26 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5502670000;-75.1748270000
222;DGZ415;Ignition OFF;Jun 24 2025 09:26 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5502670000;-75.1748270000
221;DGZ415;Idle - Stop;Jun 24 2025 09:26 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5502670000;-75.1748270000
220;DGZ415;Idle - Stop;Jun 24 2025 09:26 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5502550000;-75.1748530000
219;DGZ415;Idle - Stop;Jun 24 2025 09:26 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5502120000;-75.1748800000
218;DGZ415;Idle - Stop;Jun 24 2025 09:25 AM;;HR2G+43 Santo Domingo, Antioquia, Colombia;0;N/A;;6.5502080000;-75.1747710000
217;DGZ415;Idle - Stop;Jun 24 2025 09:24 AM;;67R6HR2G+4H;0;N/A;;6.5503670000;-75.1735750000
216;DGZ415;Idle - Stop;Jun 24 2025 09:24 AM;;HR2G+5J Santo Domingo, Antioquia, Colombia;0;N/A;;6.5504000000;-75.1734620000
215;DGZ415;Idle - Stop;Jun 24 2025 09:24 AM;;South America, Antioquia;0;N/A;;6.5503830000;-75.1733870000
214;DGZ415;Idle - Stop;Jun 24 2025 09:23 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5501520000;-75.1730840000
213;DGZ415;Idle - Stop;Jun 24 2025 09:23 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5501520000;-75.1730840000
212;DGZ415;Idle - Stop;Jun 24 2025 09:23 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia, Colombia;0;N/A;;6.5501520000;-75.1730840000
211;DGZ415;Idle - Stop;Jun 24 2025 09:22 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia;0;N/A;;6.5500620000;-75.1729850000
210;DGZ415;Drive;Jun 24 2025 09:22 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia;12;N/A;;6.5499910000;-75.1729530000
209;DGZ415;Drive;Jun 24 2025 09:22 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia;30;N/A;;6.5495810000;-75.1735970000
208;DGZ415;Drive;Jun 24 2025 09:21 AM;;Km 31 de la vía Barbosa - Puerto Berrio, , Antioquia;28;N/A;;6.5493920000;-75.1767020000
207;DGZ415;Drive;Jun 24 2025 09:21 AM;;Av 62, Barbosa, Antioquia;12;N/A;;6.5493630000;-75.1770710000
206;DGZ415;Idle - Stop;Jun 24 2025 09:21 AM;;GRXF+R5 Santo Domingo, Antioquia, Colombia;0;N/A;;6.5495440000;-75.1771100000
205;DGZ415;Idle - Stop;Jun 24 2025 09:21 AM;;GRXF+W5 Santo Domingo, Antioquia, Colombia;0;N/A;;6.5498430000;-75.1770290000
204;DGZ415;End Speeding;Jun 24 2025 09:20 AM;;GRXF+X8 Santo Domingo, Antioquia, Colombia;6;N/A;;6.5499610000;-75.1767350000
203;DGZ415;Idle - Stop;Jun 24 2025 09:20 AM;;GRXF+X8 Santo Domingo, Antioquia, Colombia;0;N/A;;6.5499610000;-75.1767350000
202;DGZ415;Idle - Stop;Jun 24 2025 09:20 AM;;GRXF+X8 Santo Domingo, Antioquia, Colombia;0;N/A;;6.5499690000;-75.1766290000
201;DGZ415;Idle - Stop;Jun 24 2025 09:20 AM;;GRXF+X8 Santo Domingo, Antioquia, Colombia;0;N/A;;6.5499530000;-75.1766860000
