Sequence;Unit;Events;Date;Landmark;Address;Speed;Temperature;Driver;Latitude;Longitude
837;LPL614;Parked;Jun 01 2025 11:56 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191353000;-74.8201280000
836;LPL614;Parked;Jun 01 2025 11:53 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191353000;-74.8201056000
835;LPL614;Parked;Jun 01 2025 11:49 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191355000;-74.8201500000
834;LPL614;Parked;Jun 01 2025 11:45 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191566000;-74.8201598000
833;LPL614;Parked;Jun 01 2025 11:41 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191378000;-74.8201400000
832;LPL614;Parked;Jun 01 2025 11:37 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191313000;-74.8201366000
831;LPL614;Parked;Jun 01 2025 11:33 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191250000;-74.8201556000
830;LPL614;Parked;Jun 01 2025 11:30 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191321000;-74.8201293000
829;LPL614;Parked;Jun 01 2025 11:26 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191383000;-74.8201423000
828;LPL614;Parked;Jun 01 2025 11:22 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191170000;-74.8201505000
827;LPL614;Parked;Jun 01 2025 11:18 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191296000;-74.8201573000
826;LPL614;Parked;Jun 01 2025 11:14 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191263000;-74.8201506000
825;LPL614;Parked;Jun 01 2025 11:11 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191313000;-74.8201103000
824;LPL614;Parked;Jun 01 2025 11:07 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191321000;-74.8201325000
823;LPL614;Parked;Jun 01 2025 11:03 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191073000;-74.8201035000
822;LPL614;Parked;Jun 01 2025 10:59 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191333000;-74.8201353000
821;LPL614;Parked;Jun 01 2025 10:55 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191236000;-74.8201188000
820;LPL614;Parked;Jun 01 2025 10:51 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191430000;-74.8201341000
819;LPL614;Parked;Jun 01 2025 10:48 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191213000;-74.8201245000
818;LPL614;Parked;Jun 01 2025 10:44 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191356000;-74.8201310000
817;LPL614;Parked;Jun 01 2025 10:41 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191228000;-74.8201356000
816;LPL614;Parked;Jun 01 2025 10:36 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191193000;-74.8201326000
815;LPL614;Parked;Jun 01 2025 10:32 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191085000;-74.8201023000
814;LPL614;Parked;Jun 01 2025 10:29 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191325000;-74.8201035000
813;LPL614;Parked;Jun 01 2025 10:25 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191281000;-74.8201346000
812;LPL614;Parked;Jun 01 2025 10:22 PM;COSTA FRENOS;Dg83 18a-58, Soledad, Atlantico, Colombia;0;N/A;;10.9191205000;-74.8200896000
811;LPL614;Parked;Jun 01 2025 10:21 PM;COSTA FRENOS;Dg83 18a-58, Soledad, Atlantico, Colombia;0;N/A;;10.9191191000;-74.8200810000
810;LPL614;Parked;Jun 01 2025 10:18 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191251000;-74.8201356000
809;LPL614;Parked;Jun 01 2025 10:13 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191271000;-74.8201153000
808;LPL614;Parked;Jun 01 2025 10:09 PM;COSTA FRENOS;Dg83 18a-58, Soledad, Atlantico, Colombia;0;N/A;;10.9191295000;-74.8200993000
807;LPL614;Parked;Jun 01 2025 10:06 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191295000;-74.8201041000
806;LPL614;Parked;Jun 01 2025 10:02 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191158000;-74.8201311000
805;LPL614;Parked;Jun 01 2025 09:59 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191031000;-74.8201330000
804;LPL614;Parked;Jun 01 2025 09:55 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191306000;-74.8201318000
803;LPL614;Parked;Jun 01 2025 09:51 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191371000;-74.8201145000
802;LPL614;Parked;Jun 01 2025 09:47 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191320000;-74.8201096000
801;LPL614;Parked;Jun 01 2025 09:43 PM;COSTA FRENOS;Dg83 18a-58, Soledad, Atlantico, Colombia;0;N/A;;10.9191185000;-74.8200921000
800;LPL614;Parked;Jun 01 2025 09:40 PM;COSTA FRENOS;Dg83 18a-58, Soledad, Atlantico, Colombia;0;N/A;;10.9191198000;-74.8200966000
799;LPL614;Parked;Jun 01 2025 09:36 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191021000;-74.8201171000
798;LPL614;Parked;Jun 01 2025 09:32 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191258000;-74.8201263000
797;LPL614;Parked;Jun 01 2025 09:28 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191196000;-74.8201075000
796;LPL614;Parked;Jun 01 2025 09:24 PM;COSTA FRENOS;Dg83 18a-58, Soledad, Atlantico, Colombia;0;N/A;;10.9191235000;-74.8200968000
795;LPL614;Parked;Jun 01 2025 09:20 PM;COSTA FRENOS;Dg83 18a-48, Soledad, Atlantico, Colombia;0;N/A;;10.9190976000;-74.8201265000
794;LPL614;Parked;Jun 01 2025 09:17 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191266000;-74.8201311000
793;LPL614;Parked;Jun 01 2025 09:13 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191293000;-74.8201283000
792;LPL614;Parked;Jun 01 2025 09:09 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191315000;-74.8201281000
791;LPL614;Parked;Jun 01 2025 09:05 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191235000;-74.8201348000
790;LPL614;Parked;Jun 01 2025 09:01 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191360000;-74.8201461000
789;LPL614;Parked;Jun 01 2025 08:58 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191375000;-74.8201648000
788;LPL614;Parked;Jun 01 2025 08:54 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191358000;-74.8201463000
787;LPL614;Parked;Jun 01 2025 08:50 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191415000;-74.8201078000
786;LPL614;Parked;Jun 01 2025 08:46 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191345000;-74.8201066000
785;LPL614;Parked;Jun 01 2025 08:42 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191406000;-74.8201291000
784;LPL614;Parked;Jun 01 2025 08:38 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191321000;-74.8201045000
783;LPL614;Parked;Jun 01 2025 08:35 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191188000;-74.8201156000
782;LPL614;Parked;Jun 01 2025 08:31 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191328000;-74.8201175000
781;LPL614;Parked;Jun 01 2025 08:27 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191418000;-74.8201140000
780;LPL614;Parked;Jun 01 2025 08:23 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191395000;-74.8201331000
779;LPL614;Parked;Jun 01 2025 08:19 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191033000;-74.8201203000
778;LPL614;Parked;Jun 01 2025 08:16 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191120000;-74.8201121000
777;LPL614;Parked;Jun 01 2025 08:12 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191131000;-74.8201240000
776;LPL614;Parked;Jun 01 2025 08:08 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191485000;-74.8201108000
775;LPL614;Parked;Jun 01 2025 08:04 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191363000;-74.8201241000
774;LPL614;Parked;Jun 01 2025 08:00 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191073000;-74.8201261000
773;LPL614;Parked;Jun 01 2025 07:56 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191093000;-74.8201295000
772;LPL614;Parked;Jun 01 2025 07:53 PM;COSTA FRENOS;Dg83 18a-48, Soledad, Atlantico, Colombia;0;N/A;;10.9190978000;-74.8201358000
771;LPL614;Parked;Jun 01 2025 07:49 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191278000;-74.8201413000
770;LPL614;Parked;Jun 01 2025 07:46 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191521000;-74.8201331000
769;LPL614;Parked;Jun 01 2025 07:41 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191160000;-74.8201161000
768;LPL614;Parked;Jun 01 2025 07:37 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191161000;-74.8201133000
767;LPL614;Parked;Jun 01 2025 07:34 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191703000;-74.8201043000
766;LPL614;Parked;Jun 01 2025 07:30 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191371000;-74.8201020000
765;LPL614;Parked;Jun 01 2025 07:27 PM;COSTA FRENOS;Dg83 18a-58, Soledad, Atlantico, Colombia;0;N/A;;10.9191421000;-74.8200963000
764;LPL614;Parked;Jun 01 2025 07:23 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191193000;-74.8201003000
763;LPL614;Parked;Jun 01 2025 07:18 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191058000;-74.8201066000
762;LPL614;Parked;Jun 01 2025 07:14 PM;COSTA FRENOS;Dg83 18a-52, Soledad, Atlantico, Colombia;0;N/A;;10.9191260000;-74.8201078000
